n train,train time,train C,test C,train brier,test brier
100,0.05,0.9997526589166461,0.5276064183087267,,
100,0.04,0.9997615641392466,0.5476089135738724,,
100,0.06,1.0,0.545386887591443,,
100,0.04,0.999766355140187,0.5278287282450627,,
100,0.04,0.9997695852534563,0.5227748624028434,,
100,0.04,1.0,0.5139713968839298,,
100,0.04,1.0,0.5096272731061501,,
100,0.04,1.0,0.5487215869699855,,
100,0.04,0.999514091350826,0.5158007398088514,,
100,0.05,0.9997573404513468,0.5307852527804566,,
100,0.04,1.0,0.5531535578421326,,
100,0.03,1.0,0.5006468350535649,,
100,0.04,1.0,0.5007948336963343,,
100,0.03,1.0,0.5193466800243065,,
100,0.04,1.0,0.523871447366261,,
100,0.03,0.9997647612326511,0.5161492311617661,,
100,0.04,1.0,0.5623655193293936,,
100,0.04,1.0,0.5014771357987932,,
100,0.04,1.0,0.5093339564453925,,
100,0.04,1.0,0.5294676096550566,,
500,0.59,0.9997365449755363,0.5597212673479613,,
500,0.48,0.9996705417235374,0.5565250458773209,,
500,0.49,0.9996996658782896,0.5488415295502274,,
500,0.46,0.999653008974876,0.5602383074541446,,
500,0.41,0.9997508650519031,0.5659243524257395,,
500,0.63,0.9996333552693428,0.5235518829648471,,
500,0.6,0.9996785903350223,0.5452722633584781,,
500,0.48,0.9996672612830775,0.5572801601020512,,
500,0.59,0.9996409912420758,0.5673526484781344,,
500,0.48,0.9996689274194311,0.5584158577676489,,
500,0.54,0.9996253137996928,0.5618112778471862,,
500,0.62,0.9998215861926494,0.5406620327636523,,
500,0.58,0.9995523807747543,0.54403309461405,,
500,0.53,0.9997583845217407,0.5540186709773992,,
500,0.48,0.9997234054323173,0.5525856630605827,,
500,0.51,0.999671663633464,0.5647537587516942,,
500,0.4,0.9997197204678799,0.5563091223828993,,
500,0.53,0.9997181775481446,0.5531466481811457,,
500,0.49,0.9995456739642786,0.5463875309724481,,
500,0.57,0.9997934718323742,0.5404669378691324,,
1000,1.69,0.9997288015131005,0.5746064299614295,,
1000,1.21,0.9996257502537881,0.5625175892136546,,
1000,1.28,0.9996732346501976,0.5641785706043893,,
1000,1.39,0.9996042682826882,0.5652437022095042,,
1000,1.19,0.9996966401732418,0.5630454682030033,,
1000,1.2,0.9996548517975882,0.547223507473965,,
1000,1.12,0.999742412390673,0.5556126678058245,,
1000,0.71,0.9994537100265043,0.5658052245773287,,
1000,1.97,0.9996840539183208,0.583383404998404,,
1000,1.29,0.9996939541825869,0.5671244136114529,,
1000,1.24,0.9997072976548688,0.5704572998114276,,
1000,1.24,0.9997386396547218,0.5616451288075858,,
1000,1.78,0.9996555311686105,0.563268300786297,,
1000,1.3,0.9997604734718556,0.5685720855045363,,
1000,1.09,0.9996648383018166,0.5683909110736406,,
1000,1.39,0.9996663633606309,0.5683340238715552,,
1000,1.28,0.9997198762825499,0.5725022707155123,,
1000,1.72,0.9996926802441921,0.5597763127899025,,
1000,1.26,0.999524844515953,0.5566006306696064,,
1000,1.54,0.9997440306790866,0.56410190619256,,
2000,3.01,0.999585623054128,0.5820606639710081,,
2000,2.63,0.9990188315588984,0.5720698405167101,,
2000,3.77,0.9996818929599156,0.5723167101285395,,
2000,4.02,0.9996759312098943,0.5698210348548107,,
2000,3.0,0.9993973099386405,0.5719744347627599,,
2000,3.31,0.9996763784402379,0.5643232975193737,,
2000,3.27,0.9996579410393438,0.566001694844616,,
2000,1.85,0.9983844107495397,0.5761316682227009,,
2000,3.51,0.9997324228260384,0.5961211671705128,,
2000,3.68,0.999727441218156,0.5814289083424206,,
2000,2.56,0.9992895169006824,0.5709521269377804,,
2000,1.69,0.9978996937127057,0.5688174223564842,,
2000,2.37,0.999045933166425,0.587052170622762,,
2000,3.12,0.9996907979232416,0.5893992112110327,,
2000,3.37,0.999563827115453,0.5616591113226972,,
2000,4.36,0.9996360227789077,0.5798695233881784,,
2000,3.62,0.99967673422495,0.5828666714430657,,
2000,3.07,0.9996080302767619,0.5735381007988164,,
2000,3.42,0.9995868255366434,0.5703464981179394,,
2000,3.8,0.9997050796546181,0.5782735568265579,,
5000,8.58,0.9926760199809452,0.5902851416386031,,
5000,13.13,0.995493240187767,0.5953178385443922,,
5000,7.07,0.9886630072639365,0.5894376110585466,,
5000,5.56,0.9771043211405704,0.5936224609466623,,
5000,9.63,0.9926797820027305,0.5952628845208731,,
5000,6.45,0.9846642107458905,0.5907582778608348,,
5000,6.94,0.98782048168925,0.5769394625582892,,
5000,5.86,0.9804555812345653,0.5984415008180735,,
5000,4.92,0.9754914831999911,0.5985762434985072,,
5000,10.35,0.9904555135166605,0.5836833957179918,,
5000,5.42,0.9780359258669737,0.5848447202062599,,
5000,12.19,0.9959995187081634,0.5874369481506345,,
5000,8.61,0.9906457991844027,0.5903111041382111,,
5000,6.6,0.9853596577089151,0.6087517567095159,,
5000,6.52,0.9850417723551311,0.5820116367149849,,
5000,5.64,0.9786271073707085,0.5824455820769049,,
5000,10.99,0.9913549200574946,0.6080675690979308,,
5000,6.41,0.9834810792423998,0.5725866857725072,,
5000,6.08,0.9824040566929959,0.5869704029483689,,
5000,16.56,0.9964274222014343,0.5934353919217743,,
10000,9.3,0.9428004915511519,0.6041145693743664,,
10000,9.74,0.9386865641063388,0.5884251926382309,,
10000,7.74,0.9289796161914649,0.6029330994853807,,
10000,11.37,0.936480318784231,0.6028134821973073,,
10000,33.11,0.9796535734506044,0.6115544344366727,,
10000,7.91,0.919409537473435,0.601628019986375,,
10000,55.42,0.9877179476446255,0.5964787982347683,,
10000,7.75,0.9281813229587993,0.5986829942411329,,
10000,9.05,0.9293822689536999,0.596364092983082,,
10000,28.63,0.9810242230810243,0.6066427402237442,,
10000,15.14,0.957913040636594,0.5987700679890132,,
10000,7.69,0.9333215857851328,0.599229159091121,,
10000,19.28,0.9593689895857126,0.598409409723504,,
10000,8.94,0.930417332991336,0.6114533941152871,,
10000,7.72,0.9311646650609927,0.5923022262663311,,
10000,8.97,0.9258236237405467,0.5876796277179701,,
10000,11.68,0.9463462412096106,0.6133416381045708,,
10000,32.17,0.9808583189507867,0.5903786120041127,,
10000,29.61,0.9810893159040684,0.6088390913360433,,
10000,15.31,0.9560390227790142,0.6067824719855939,,
