n train,train time,train C,test C,train brier,test brier
100,0.33,0.9520112914608327,0.5505558216782823,0.03976566674344804,0.21494223555702396
100,0.32,0.9291320406278855,0.5521203017073149,0.039468848960124564,0.1851020612065094
100,0.33,0.9279778393351801,0.5428284308073512,0.03665187439516503,0.21090009719254643
100,0.34,0.9273793414524132,0.555256487134758,0.04636098596948958,0.15317579365709974
100,0.32,0.9271561771561772,0.5348005626900213,0.04017377451175454,0.21551596660877193
100,0.33,0.9324324324324325,0.542115314290358,0.04199647468957134,0.16709714873034753
100,0.33,0.9165909090909091,0.5360710800444818,0.04601774033410766,0.22995521270057956
100,0.35,0.9221611721611722,0.5387365804452771,0.044485551594221996,0.1974437736675313
100,0.37,0.9224661373190098,0.5495858943288655,0.04183258508957653,0.1782987397513152
100,0.33,0.9256987048398091,0.5432609530137764,0.04295768904520622,0.18382374300014573
100,0.33,0.9452923221413477,0.5385885053031545,0.04222737204274795,0.16812956564462875
100,0.36,0.9269047619047619,0.5402486195935489,0.041486188123309176,0.17513445023576862
100,0.34,0.9248541423570595,0.555485609875825,0.0408753411840506,0.16252968319237734
100,0.33,0.9372239014182748,0.5367631345624844,0.04544619072852844,0.21615163806842744
100,0.34,0.9210702341137124,0.566738223955582,0.04588611577582034,0.1937396906116926
100,0.35,0.9223880597014925,0.5331885653560999,0.03983815160218064,0.2016505182553309
100,0.29,0.9166471552329665,0.5639464574716777,0.042425775739474626,0.166910791049738
100,0.33,0.9058688147295743,0.5386538357547136,0.04164965961080253,0.25483103078432795
100,0.32,0.9521719038817006,0.5551686836589819,0.04429707732150091,0.23082330510779972
100,0.34,0.9349908759124088,0.5456433874940231,0.04113437683018083,0.18445112944489298
500,16.63,0.9383466434081059,0.6040374940684617,0.035914760402500856,0.1727108814267043
500,16.64,0.9317024733706445,0.5925453604785201,0.03662739076784113,0.16719199770185275
500,18.81,0.9266838009438778,0.5916106555616597,0.036730325566751244,0.17836936281006924
500,16.06,0.9421815748382779,0.6211317960459369,0.03913924084312597,0.14615373873173454
500,19.56,0.9250805463538594,0.5929470889867042,0.03698449329051358,0.15685152538562153
500,16.26,0.9395933915046286,0.6182398114664175,0.0374096430273404,0.16579721374281722
500,15.94,0.9331150902501102,0.5983988834169258,0.03837219164376433,0.1672713771207633
500,17.62,0.9293508448155382,0.5855361517400389,0.03735823904923889,0.19697872172418635
500,16.91,0.9362472461988516,0.599270706407622,0.036303694157619575,0.16496378845085857
500,17.28,0.9395227843559383,0.6198966936119299,0.03766528809043149,0.18178921611526824
500,17.46,0.9287419055596084,0.5958913184565047,0.037319396330297974,0.1650490547010623
500,17.07,0.932124006330214,0.5905177171873275,0.0380273372068686,0.14868433915984555
500,17.96,0.9300321943367235,0.6145801138119739,0.03717235211516998,0.1641415485063778
500,17.51,0.9357199869390125,0.583415554595676,0.0339687582134654,0.17154473500458517
500,16.43,0.938545232931223,0.6148685556292358,0.03600467777530544,0.1659115542921962
500,17.35,0.9336724498137887,0.6040956054025698,0.035957852421356865,0.16871974167521456
500,15.45,0.9430443364158047,0.6226173350116886,0.03673308489800708,0.16571333659674337
500,15.78,0.9199042666138814,0.5780061465806265,0.03800016729499097,0.19866698369129646
500,16.24,0.9337558218082269,0.610555968719717,0.03733861723254197,0.17457656550167802
500,16.4,0.9398130605027156,0.595644289670976,0.03804870970847222,0.15761383582829575
1000,92.64,0.9416682018125205,0.6406691000029237,0.036734278052148454,0.15617472292597742
1000,101.29,0.9373729760286418,0.6352373085964801,0.03458543950156527,0.15216545044772656
1000,111.53,0.9317638778684814,0.6279234857784922,0.03513223453891873,0.176141673173899
1000,87.22,0.941330988477324,0.6563681130978339,0.03616651960383153,0.14551901043501106
1000,100.04,0.9303108143976031,0.6386327540046286,0.03378015090213475,0.1511114255568031
1000,95.15,0.9339391946161574,0.6253414236633122,0.03398660136797631,0.17836914065252177
1000,93.47,0.9389407804704286,0.6344790413725802,0.03498031685954529,0.1615158829629567
1000,105.21,0.9358729889053072,0.6204382520354492,0.03415823031855741,0.18169365934018977
1000,95.66,0.9377265747082956,0.6299239682204247,0.034178491320328325,0.16351802601950782
1000,91.72,0.9430076692829288,0.651036767825515,0.03524246794399111,0.17277230365048735
1000,93.2,0.938810886547197,0.6430459397126888,0.03535167961188536,0.14946377327985508
1000,90.74,0.9375853709282025,0.6351593071272001,0.03539489992211302,0.14302264344551976
1000,93.89,0.932407552803399,0.6458784066323655,0.03493063463065655,0.14882697187912788
1000,104.12,0.938860581529672,0.6228112851524314,0.03413955087510298,0.16716796361331326
1000,96.71,0.9374831254387386,0.6513256830723928,0.034740362967235504,0.15903228039345968
1000,92.41,0.9360313610214424,0.6440193714413082,0.03483745385995125,0.15662799684989906
1000,90.98,0.9365320042796486,0.6401951087933825,0.03429817812110507,0.16234518423088298
1000,100.14,0.9284381504525522,0.6180896030859079,0.034580249524648235,0.1709521360466754
1000,93.34,0.9360194627741119,0.6143251526829379,0.03453804126256677,0.16565532882295508
1000,97.18,0.9378259116566616,0.630454787402001,0.03453661110122312,0.14650796023726587
2000,521.59,0.9442107470014777,0.680558273005935,0.033297456105837626,0.13693988828910383
2000,600.06,0.9383193951216541,0.6681264919717173,0.0325535480036347,0.13841037456261335
2000,538.31,0.9387996926232384,0.6697187349516077,0.032047182965528644,0.16198958833892285
2000,470.84,0.9413339403035113,0.6780963802878325,0.0333666769752698,0.1440865098267975
2000,553.21,0.9385275123989693,0.679620638017879,0.0322718149401836,0.1388750999130863
2000,535.85,0.9352986978794677,0.666905945399302,0.03314371572642609,0.16293214396596278
2000,490.37,0.9384096006242255,0.661879581508295,0.03323893249658825,0.15578563732261222
2000,497.27,0.9393682850441695,0.6539938936522804,0.0333981083195311,0.15721564321650258
2000,488.07,0.9391488712475081,0.6638291510608929,0.03377292719997854,0.15702991389307083
2000,455.19,0.9407042433473087,0.678091278669094,0.03296576683162682,0.1522195623156499
2000,485.59,0.9417188291105341,0.6857720957285073,0.03336181896404364,0.13814442576888003
2000,506.01,0.9379052983113897,0.6647149863367359,0.032780376913265824,0.14058313311440387
2000,525.65,0.9379644346020886,0.6771789720560697,0.03145928059237024,0.1330186122387008
2000,511.19,0.9439541500718144,0.6634596585354764,0.03321194793357181,0.15255612953269646
2000,537.34,0.9407513249623124,0.6879817472716442,0.03338005334495548,0.1460683559636051
2000,510.07,0.9406409056338852,0.6675604907251682,0.033583531503148106,0.1579775405130653
2000,483.2,0.9410863640161053,0.68030704909189,0.032916701079429816,0.15555258444556289
2000,567.77,0.9400035502858544,0.6815922527848877,0.03305310414488475,0.14606531711360163
2000,515.88,0.9395633869120686,0.6428593964798414,0.032516440768089655,0.15092193419117594
2000,491.34,0.941276381383105,0.6642097380980305,0.03350980197717026,0.13215706683846162
5000,4135.20,0.943,0.714,0.031,0.131
5000,4405.77,0.943,0.704,0.031,0.127
5000,4164.79,0.942,0.716,0.031,0.150
5000,4002.63,0.942954686669545,0.7168352049716529,0.03170060144742186,0.1359682934295428
5000,4282.36,0.9436240710455593,0.7252302945046967,0.03050037737574772,0.12472309554034837
5000,3967.94,0.9421909702563775,0.7105539979864469,0.030630395089056153,0.14880710860114524
5000,4040.31,0.9414344468125097,0.702457844449992,0.030713757605801636,0.14775464680245814
5000,3877.94,0.9440142238789763,0.7036237300958282,0.030628029644176512,0.15145587335176755
5000,4622.74,0.9434891862411865,0.7055465880120679,0.031011840615629494,0.14679071910380237
