	n train	train time	train C	test C	train brier	test brier
0	100	0.69	0.8624229979466119	0.5525539805705568	0.09329293601772044	0.18492251588891687
1	100	0.54	0.842283393501805	0.5462426062436353		
2	100	0.42	0.6407699443413729	0.5166308275748592		
3	100	0.42	0.6047794117647058	0.5090398761021016		
4	100	0.54	0.6040806969280147	0.48470698927315153	0.15885966086562417	0.20535637266746987
5	100	0.43	0.6246260069044879	0.5307627195792266	0.18073249230354962	0.21005161572688377
6	100	0.44	0.6613083277517303	0.5003615950440841	0.17975279132541597	0.2096572444544618
7	100	0.42	0.5468713105076741	0.5203313103989533	0.20007648688000784	0.2171641026410441
8	100	0.48	0.7357714285714285	0.5169435125777967	0.18463562017477414	0.23243132652738088
9	100	0.48	0.5425082198215124	0.5213363693369665	0.21111418008335484	0.22230433469907887
10	100	0.74	0.5294522117808848	0.502309515179924	0.23884280736798727	0.2287117291563964
11	100	0.66	0.6308647654093836	0.510226156637658		
12	100	0.46	0.812755333635951	0.5310035944639487	0.1535165749459488	0.1862490822348171
13	100	0.44	0.6945823927765237	0.5022263963816748	0.16647320235914861	0.1961915738905804
14	100	0.4	0.6084580660489427	0.5069042318776988		
15	100	0.51	0.7801283574994058	0.5336775318579653		
16	100	0.49	0.8463949843260188	0.5208280441694425	0.1440702272414545	0.22991964522168534
17	100	0.4	0.5942267073456935	0.5114240285702493	0.2036489807289746	0.22476533813971447
18	100	0.4	0.5491937368544052	0.5137974377923648	0.20908521374664696	0.22335463433051855
19	100	0.4	0.5636571428571429	0.5277020253280507	0.22734137854783426	0.22537025089361534
20	500	0.68	0.7379887762490949	0.5827730353571535	0.17566749496892414	0.21094502039771937
21	500	0.71	0.7642482391835561	0.5671619680043516	0.16108468193105485	0.19114496668036382
22	500	0.68	0.670476327606843	0.5458360591964165		
23	500	0.79	0.7843218135188939	0.5666389415527835	0.161185732375997	0.21611671165907698
24	500	1.25	0.6990865515058334	0.5589298143736716		
25	500	1.06	0.6899564925448642	0.556762505845174	0.1928594428850655	0.21674289510843328
26	500	0.68	0.7126310666725656	0.5546395838858095	0.18241156141833204	0.2085652625099626
27	500	0.7	0.7638678277292993	0.5680355635369706		
28	500	0.66	0.6896048960489605	0.5500078312609235	0.19416246482695237	0.21818087662355934
29	500	0.71	0.7548981280286569	0.5639610461207553	0.1675747873635291	0.21780565091185977
30	500	0.68	0.6812359449491769	0.5655459576275068	0.1937858185222701	0.21333453756874304
31	500	0.7	0.7523179649084608	0.5596750563879058	0.17588015678196073	0.21594886041904054
32	500	0.68	0.7453012738967624	0.5672671387286669	0.1756671479706406	0.21874150238920395
33	500	0.68	0.6821293119017519	0.5471246832862798		
34	500	0.7	0.7486836282186757	0.5793747770069656	0.17271877588221055	0.21468700901526963
35	500	0.7	0.7821224474939031	0.5632536881846345	0.16535318382518685	0.21404562950756895
36	500	0.66	0.6742658388675131	0.5484087839041295	0.18955972752577413	0.21916689985004223
37	500	0.7	0.7804102676212858	0.578398272486038	0.1576173526103338	0.21152328533767445
38	500	0.68	0.7021750008935912	0.5580126804229221	0.17467476369746776	0.2169958567801232
39	500	0.63	0.6603457439620924	0.5315950384297219		
40	1000	1.23	0.7283417878480442	0.6228509973973073		
41	1000	1.03	0.7233912578923997	0.5693937360090424	0.17649398095556743	0.21375080454970394
42	1000	1.49	0.7005644756365831	0.5748303839353415		
43	1000	1.37	0.6560628193289548	0.562039701382995	0.19894692320273283	0.21501341966682475
44	1000	1.6	0.7311096428821084	0.5856296079337175	0.1769894822372618	0.20890198083797143
45	1000	1.44	0.6956569243376127	0.572839208098372	0.19020603620166146	0.21410132861495873
46	1000	0.95	0.6961450434673558	0.5740198342939115		
47	1000	0.95	0.6753748327094613	0.5829025197435418	0.19044430424509529	0.21195122606613287
48	1000	1.06	0.7151607338376408	0.5709382189846728	0.18399300894163778	0.21299083716091438
49	1000	1.21	0.6920173287038511	0.5758888763865149	0.1824819075957983	0.21218692532410718
50	1000	1.01	0.7305056567049187	0.5844031815840407		
51	1000	1.04	0.7575713945044117	0.5844450237001662		
52	1000	0.98	0.7186805422012728	0.595161128900293	0.18103675384767273	0.2083250711719351
53	1000	0.97	0.7122293483429305	0.5878523289943813		
54	1000	1.58	0.7069902960789665	0.572336254553864		
55	1000	0.95	0.7036922241578245	0.586795532845213	0.18212434624996138	0.21000247208360628
56	1000	0.98	0.7402897096349135	0.5944633833422012		
57	1000	0.95	0.6926412238720497	0.5709260621536363	0.18185612081243707	0.20814745215497682
58	1000	0.95	0.6912000143908187	0.5670316354669609	0.18415551994934604	0.2137970088958408
59	1000	0.95	0.6929650967757913	0.5665722203405835		
60	2000	1.79	0.7473306156334669	0.6449594668635885	0.16755859322792827	0.1931454231339559
61	2000	1.64	0.7352791366538808	0.6181929520913425	0.17126007647279892	0.20199546023920606
62	2000	1.59	0.7382416634000698	0.6118250343642515	0.1757088527432275	0.20293761772076174
63	2000	1.54	0.7006595810698997	0.5985774811385353	0.1856851590500489	0.20907471237796588
64	2000	1.59	0.7286499748236813	0.6120438573229074	0.1771983390626015	0.20283058475515384
65	2000	1.63	0.737044799223512	0.61566376580176		
66	2000	1.49	0.6833405569980967	0.5992384734865169		
67	2000	1.64	0.751732357418875	0.6140799851630118	0.15557694602944344	0.18409037301700898
68	2000	1.64	0.7369873651869637	0.6191567343472318	0.1722501231630013	0.20182734505850983
69	2000	1.59	0.7373619145218071	0.6141981608693661		
70	2000	1.54	0.6892826812407908	0.6039762449867208	0.17375045908640327	0.18491930155387257
71	2000	1.63	0.7460919459008748	0.6137463791020117	0.16791184023993214	0.2009569050279635
72	2000	1.59	0.7286451359868003	0.6077081093979089	0.16139216600187514	0.18340292179163278
73	2000	1.58	0.7265740018929641	0.604311547349726		
74	2000	1.6	0.7261535176564129	0.6086351384436881		
75	2000	1.87	0.7660391496269359	0.630924264073511	0.1605226237651781	0.19701475027122411
76	2000	1.7	0.7750200756619281	0.6223121387936917	0.15690464290325606	0.20117957433256867
77	2000	2.29	0.7328483014215433	0.6127580004670485	0.1705960998280539	0.20462892111682535
78	2000	2.15	0.7017645585226009	0.5890239082458937	0.1821952944206712	0.2105726330997816
79	2000	2.18	0.7199613037889757	0.6136765480028022	0.18146440455985768	0.20518928685598808
80	5000	4.3	0.7424713544582034	0.6651392409500875	0.1657635128783764	0.18591700405542094
81	5000	3.4	0.7313404229379137	0.644554050684373		
82	5000	3.51	0.7365603938395705	0.6526567199286648		
83	5000	3.5	0.7496672875248409	0.6615436461333078	0.14609183230661324	0.16821847500284334
84	5000	3.39	0.715410984078664	0.6400204008587812		
85	5000	3.4	0.7270102662312857	0.6543038291756029		
86	5000	3.49	0.7431450599544719	0.6599106727364122	0.16061062756611968	0.19145878320765025
87	5000	3.59	0.7620781206510777	0.6648548276472348	0.15490813836787867	0.18780698461236436
88	5000	3.48	0.7538682686184922	0.6695869448074216		
89	5000	3.29	0.7133642682063067	0.6313387271967535		
90	5000	3.38	0.7403864632843133	0.6482463347154425	0.1649288342199966	0.19214538646389676
91	5000	3.49	0.7509325599621044	0.6537480075519365	0.1606266169921818	0.19199695867917377
92	5000	3.37	0.7222935330780484	0.6463131158636467	0.1710366960155307	0.19321442045351161
93	5000	3.38	0.7282931876486768	0.6444013835039153	0.17053898023186825	0.19636725987820697
94	5000	3.48	0.7593371684044022	0.6657730924659877	0.15824656886041083	0.18795505417475303
95	5000	3.38	0.7357979053583718	0.6517531563939559	0.1681059080696988	0.1931320064549797
96	5000	3.38	0.7340068841882461	0.6565519947663429	0.16535485759461113	0.18767943298732265
97	5000	3.77	0.7795934357913636	0.6735828668974014	0.1447688553199456	0.18375632253263732
98	5000	3.37	0.7355443759456242	0.6569681541915905	0.16677054924728013	0.1905952919043761
99	5000	3.68	0.7926882224319036	0.6676113184054987	0.14316510650805048	0.186293969985469
