n train,train time,train C,test C,train brier,test brier
100,0.07,1.0,0.5138596188434497,,
100,0.04,1.0,0.5266384945676187,,
100,0.05,1.0,0.5143070463449507,,
100,0.05,0.9993246285457001,0.5319066227006551,,
100,0.05,0.9995301855766971,0.520004899714637,,
100,0.05,1.0,0.5147616498754837,,
100,0.04,1.0,0.5437364536842603,,
100,0.04,0.9997815640017474,0.5242025073589469,,
100,0.04,1.0,0.5162921168430779,,
100,0.04,0.9995536710555679,0.5223925747835407,,
100,0.04,1.0,0.5203935611302958,,
100,0.05,1.0,0.5294638335202402,,
100,0.05,0.9995513683266039,0.49202389429902343,,
100,0.04,0.9997695852534563,0.5285682177300713,,
100,0.04,1.0,0.5161956433719329,,
100,0.04,1.0,0.5176901151522061,,
100,0.04,1.0,0.5302380424804533,,
100,0.05,0.9993206521739131,0.5258884541528809,,
100,0.04,1.0,0.5294084808713286,,
100,0.05,0.9991029378784481,0.5077456130295327,,
500,0.77,0.9996173922549261,0.5430265883036899,,
500,0.58,0.9996501708780711,0.5450644068564696,,
500,0.63,0.9996501708780711,0.52810765859771,,
500,0.6,0.9995106718031299,0.5315382303153032,,
500,0.67,0.9995197448304609,0.5261681055797769,,
500,0.62,0.9994627474548798,0.5359815924482769,,
500,0.52,0.9994615363554226,0.5524713656486815,,
500,0.6,0.9995477440408627,0.54130852370814,,
500,0.63,0.9995953382971835,0.5554700436377609,,
500,0.73,0.9993624968573789,0.5478963623962457,,
500,0.77,0.9994198168797026,0.5279908988708688,,
500,0.55,0.9996473651849976,0.5440945718626777,,
500,0.78,0.9996290264205574,0.5299506511060411,,
500,0.67,0.9996395324736183,0.5483901360358888,,
500,0.56,0.9996516301920501,0.5309415517225866,,
500,0.74,0.9997550242707436,0.5389602097822369,,
500,0.65,0.9992818377680609,0.5333017541162266,,
500,0.63,0.9994940642899734,0.5437645934567222,,
500,0.54,0.9994231861422689,0.5363182719256272,,
500,0.66,0.9996348674836135,0.5451733772086573,,
1000,1.94,0.9996290851520977,0.5513235107098087,,
1000,1.54,0.9995537576298476,0.5663826798237167,,
1000,2.23,0.9996231575336901,0.537964429519556,,
1000,1.54,0.999492508942304,0.5677254369291895,,
1000,1.27,0.9995358765207331,0.5391534835610037,,
1000,1.59,0.9995833417791081,0.5355642699350882,,
1000,1.64,0.9994765744299782,0.5581768543963773,,
1000,1.43,0.9995055695484054,0.5538702065030239,,
1000,2.57,0.9995464934061937,0.5511497223467418,,
1000,1.56,0.9994561538114366,0.5560618798251558,,
1000,2.21,0.999569168721198,0.5382901343222749,,
1000,1.58,0.9995976099379106,0.5488132167275621,,
1000,2.98,0.9995969038593059,0.5346451460736332,,
1000,1.85,0.9995624912107609,0.547774886939465,,
1000,1.73,0.9996207692773748,0.5516506059869895,,
1000,2.43,0.9996116548951922,0.5412233496750656,,
1000,2.15,0.999435713044283,0.5386038971316424,,
