n train,train time,train C,test C,train brier,test brier
100,0.05,1.0,0.5559771321134213,,
100,0.05,1.0,0.5768859543290851,,
100,0.04,1.0,0.5620204631645481,,
100,0.04,1.0,0.5892732153773911,,
100,0.04,1.0,0.5842593836215153,,
100,0.04,0.9997779751332149,0.5577259539300158,,
100,0.04,1.0,0.5788659793814434,,
100,0.05,1.0,0.5727491854951924,,
100,0.04,1.0,0.5615694523203524,,
100,0.04,1.0,0.573752379954235,,
100,0.04,0.9997766361402725,0.5849685244894826,,
100,0.04,1.0,0.5697579827338384,,
100,0.04,1.0,0.5543720093202896,,
100,0.04,0.9997787121044479,0.582436385229497,,
100,0.04,1.0,0.5800710331554197,,
100,0.03,1.0,0.601288332904695,,
100,0.04,1.0,0.5477870182600444,,
100,0.04,1.0,0.5629962287166009,,
100,0.04,0.9997784669915818,0.5838395659110434,,
100,0.05,1.0,0.5871072139489306,,
500,0.6,0.9995518925948055,0.6006296320587656,,
500,0.55,0.9995294609714017,0.6059139667010331,,
500,0.54,0.9997707978878144,0.6220514519980336,,
500,0.74,0.9995603583958357,0.6260045008727085,,
500,0.56,0.9995679812380424,0.6095286115961239,,
500,0.74,0.9996018579960185,0.6163739669421487,,
500,0.58,0.9997289285683056,0.6231871024347445,,
500,0.54,0.9995142887420961,0.6079152650120521,,
500,0.62,0.9994987821285052,0.6261094040538581,,
500,0.74,0.9996623782784846,0.6172269384618072,,
500,0.59,0.9996561938009098,0.6284343401109869,,
500,0.52,0.9997096757165731,0.6172244953748204,,
500,0.49,0.9996584938704028,0.6300292190640693,,
500,0.6,0.9996558388266752,0.6132166970903252,,
500,0.6,0.9997016968186843,0.622072527894072,,
500,0.7,0.9995890854090349,0.6268593560753436,,
500,0.55,0.9996592815208275,0.606723166454187,,
500,0.61,0.9996910201631414,0.6183676200547155,,
500,0.54,0.9996982605608804,0.6276297796244674,,
500,0.61,0.999603604555905,0.612699002078454,,
1000,2.25,0.9995121726117883,0.6174526136289106,,
1000,2.4,0.9996419942894794,0.6291596288415557,,
1000,1.74,0.9996206080417861,0.6260918516047476,,
1000,2.83,0.9995813936067788,0.6287621714052823,,
1000,2.15,0.9996309971204597,0.616035000187155,,
1000,2.99,0.9996596827978493,0.6300894584139265,,
1000,2.07,0.9996861626248217,0.6371199824522922,,
1000,2.25,0.9995568577910353,0.6252417026461473,,
1000,2.83,0.9995459955040331,0.6369704642463085,,
1000,2.31,0.9996263719840527,0.636463082324582,,
1000,2.75,0.9996551830165556,0.6397150753438179,,
1000,1.95,0.9996453473734908,0.6311154663539122,,
1000,2.18,0.9996179770347114,0.6373142572812023,,
1000,2.27,0.9995842818964664,0.6281444500648794,,
1000,2.15,0.9996650400310002,0.6316097541617889,,
1000,2.14,0.9996273212950805,0.6399097441578796,,
1000,1.86,0.9995755564258351,0.6330398250840561,,
1000,2.29,0.9995852114649316,0.6309945087130029,,
1000,2.33,0.9996778378950899,0.6338612615929452,,
1000,2.25,0.9996706018762517,0.629049799405026,,
2000,8.43,0.9995932874847414,0.6236494610961719,,
2000,7.64,0.9996619021953305,0.6436231820475136,,
2000,6.52,0.9996476399585096,0.6406524334574057,,
2000,7.61,0.9995882882312631,0.6499131721406611,,
2000,7.21,0.9996197701917413,0.6368697555315312,,
2000,7.77,0.999666867796154,0.6421520573237207,,
2000,5.37,0.9996217236207208,0.6575531914893618,,
2000,6.17,0.9996043450507363,0.6332929391924703,,
2000,7.92,0.9995683374116742,0.6497898781029245,,
2000,8.57,0.9996189629092785,0.6518148788625129,,
2000,7.49,0.9996540002660694,0.6534458555416639,,
2000,5.38,0.9997043061040766,0.6373543884092733,,
2000,6.5,0.999626851707126,0.6538417698905545,,
2000,6.29,0.9995963149558424,0.6432569442917152,,
2000,7.74,0.9996323719035564,0.6477862215079223,,
2000,8.0,0.999645436515874,0.6552187264386311,,
2000,7.7,0.9996413480276606,0.6447526317759561,,
2000,6.33,0.9996125413156068,0.6405422837874304,,
2000,8.42,0.9996817894791992,0.6444855712757938,,
2000,8.52,0.9996538096007581,0.636820932184398,,
5000,31.87,0.9983307129528237,0.6371045670186485,,
5000,57.48,0.9995258442603918,0.6619266457542721,,
5000,53.17,0.9995644590107633,0.6545919218343985,,
5000,48.1,0.9995292390701392,0.6690485261413877,,
5000,54.7,0.9993834583266885,0.6495885892696331,,
5000,52.3,0.9995944503022869,0.652191401441885,,
5000,52.12,0.9996060489103673,0.6655143671857864,,
5000,48.65,0.9994547277207531,0.6488899336918037,,
5000,47.3,0.9994759004747042,0.665123721355506,,
5000,41.23,0.999103208243529,0.6656229803140666,,
