n train,train time,train C,test C,train brier,test brier
100,0.22,0.6406322640632264,0.48113652302543264,0.14670792810080785,0.1812851353673336
100,0.26,0.7735937867733584,0.5205252176903734,0.09601218507753835,0.16675412917232008
100,0.27,0.801666280953483,0.5250170648663793,0.11383152478004056,0.18361273718034357
100,0.25,0.7650943396226415,0.5041935410285011,0.11513191682245986,0.17329262124763653
100,0.26,0.8184242424242424,0.5350828501456143,0.1095091571142651,0.1740962841702737
100,0.22,0.7057028866463272,0.5345710503827384,0.15601203598384716,0.19626563194467658
100,0.24,0.7202380952380952,0.5273075881480043,0.1199956612777288,0.1731512618361067
100,0.27,0.7991234477720964,0.5227402870641001,0.08366146037477609,0.1864114017941599
100,0.21,0.6564756860857005,0.5046275472274199,0.14601203931989276,0.169648603142928
100,0.22,0.5832749357626723,0.4911730626039319,0.13757364542502667,0.1709779600977574
100,0.24,0.7396506341229959,0.528203676418548,0.1129038689885235,0.18733527403982228
100,0.22,0.6284466911764706,0.5283007721449908,0.15872112195293472,0.1756793887570539
100,0.27,0.8214883943527159,0.5433511946576294,0.08709928547493416,0.16888624006714953
100,0.27,0.8251445086705202,0.5369060271294819,0.09182431307112977,0.170446009501263
100,0.22,0.5809037900874635,0.49357910640346314,0.15716341758561525,0.1833087548285627
100,0.41,0.7178265014299333,0.5196996115586028,0.13216268938714726,0.1713638373352657
100,0.27,0.796412764966224,0.5230561406320464,0.11744587641553327,0.16865066289872044
100,0.22,0.5886729061675066,0.5167270785358199,0.14807813708888684,0.1834773560217181
100,0.21,0.6404848484848484,0.49600679202153886,0.14014631488525378,0.17098230706641251
100,0.22,0.6446261682242991,0.48672742363508853,0.14686471592133699,0.18581369113627844
500,1.09,0.716696269982238,0.5410711998282692,0.12366073961836663,0.17055943006260427
500,0.91,0.561095275921686,0.49723920585054393,0.17968690850511906,0.17563659097082188
500,1.14,0.6765289672074625,0.5394895923324792,0.13290658170934969,0.16806787658169825
500,1.0,0.6286184117263475,0.5516955779915573,0.14258188040598194,0.16364089840583873
500,0.91,0.5821418231739776,0.5380451471731398,0.1480557409152512,0.1650620062851764
500,1.04,0.6783694913043883,0.5333140701651153,0.1365632460342172,0.17523332949422513
500,1.05,0.6756344896375929,0.5291404162131146,0.13477925901748397,0.168992936085313
500,1.05,0.6604733256153802,0.538371529193351,0.125595323151476,0.16593504583213253
500,1.04,0.6747631320341906,0.5039212635546512,0.1380757106736073,0.1710824721663851
500,0.91,0.559358189575218,0.5114757205117062,0.168484155954875,0.17361919067777382
500,1.04,0.6855695025569503,0.5420526855449614,0.12952595278387338,0.16618149348426486
500,1.05,0.6765547822182308,0.5279313989446981,0.13850364597379747,0.17034393120128868
500,1.32,0.7026718407664599,0.5398188989227639,0.1326946812087953,0.16468225665467923
500,1.05,0.6536652784090382,0.5362278193294194,0.14731154791293893,0.16757390973855368
500,1.0,0.6245413930505374,0.5462316037230946,0.1517523346149015,0.16689368023447584
500,1.0,0.6052340652638,0.5246163987662994,0.15536843795158597,0.1722270974357829
500,1.04,0.6511134676564156,0.5202368550811188,0.14092047084117199,0.1733617740457954
500,1.05,0.6671428838216894,0.5338369832942709,0.12928687065778188,0.16972867727946328
500,0.96,0.5865936481396244,0.5136621290987119,0.15824093498744987,0.17066801883472377
500,1.05,0.6567961973107441,0.5268876198854388,0.14593732094760345,0.17322707848487323
1000,2.2,0.6265322854566111,0.5426574866361771,0.1480261747419471,0.1614719018488727
1000,2.34,0.7062797156161611,0.5603493808392698,0.1356991206026113,0.15629836651347825
1000,2.2,0.6468294864789467,0.5791625552085715,0.1436691962731934,0.15118196251064606
1000,2.34,0.6909070733256365,0.5716186267037814,0.12975824080656645,0.15313864605766989
1000,2.28,0.6983527267629328,0.5887609941900491,0.12822932833683176,0.1500205369291418
1000,2.19,0.6239948062083928,0.5612372803136075,0.1489596174806894,0.1549394250458402
1000,2.34,0.7138849913556202,0.5472607599319862,0.1264147315224266,0.16166096256793303
1000,2.27,0.6558749884952223,0.5732631124561534,0.13532967208643548,0.15266107627389947
1000,2.27,0.6515129203043372,0.5662540878178204,0.13698110240165676,0.1528522305246243
1000,2.26,0.6602287078124457,0.5699925657428729,0.13810142814642434,0.15576189416158465
1000,2.19,0.6340297647802015,0.5737330908669771,0.14055723877189014,0.1579773583061523
1000,2.26,0.6414891727545092,0.5492997701872836,0.14203524902618483,0.15610077953034107
1000,2.19,0.6270798769389366,0.5752684901556047,0.15194758672516126,0.15157912884363622
1000,2.26,0.6812555731838659,0.5808570511092017,0.1374489433475786,0.15061264702472527
1000,2.2,0.6263293930186022,0.5846905775616456,0.14734267908203869,0.15384872664102525
1000,2.26,0.6605493242383844,0.5902914217095516,0.141303945770575,0.15693024200805195
1000,2.26,0.6831645061892981,0.5349600182025241,0.13955595162353387,0.15767195737260875
1000,2.26,0.6939909110119801,0.5487283091949068,0.12981222061437134,0.1576021408281091
1000,2.19,0.6129667553939303,0.5527917068551338,0.14678001089422735,0.15362420642701372
1000,2.18,0.6210512606429617,0.5351457284021962,0.150531995086229,0.15434684851931016
2000,2.08,0.6608715929262868,0.5668656154202052,0.1441258069025125,0.15372636585252827
2000,2.08,0.6541458200620284,0.5768787584381158,0.14928370403208233,0.15194537879997774
2000,1.97,0.6486702900512993,0.5578754870140316,0.14348212114724174,0.1526631560403925
2000,2.3,0.6949400873218842,0.5738869232528472,0.13558477662109214,0.15312340830237603
2000,2.3,0.68949118621844,0.5827542197159307,0.13222538506785592,0.14958216949723074
