n train,train time,train C,test C,train brier,test brier
100,0.82,0.9057162377590526,0.5452288180915272,0.08055390343402868,0.18866214387842928
100,0.55,0.8874292185730465,0.5547299375958574,0.07597449078950107,0.18386528495505639
100,0.54,0.8728336709430565,0.5690547363942722,0.07637958971005507,0.17861348832613183
100,0.57,0.8785956964892412,0.5796244807830835,0.08496192963693618,0.17699998858065805
100,0.4,0.8548422678138098,0.5605628158603647,0.09001814408282231,0.1887043833211185
100,0.37,0.8119982158786797,0.5497363167170475,0.07996483203062632,0.17560005043402518
100,0.42,0.8668949771689498,0.5143649599742116,0.09595335108209413,0.1924719749889748
100,0.12,0.5515083798882682,0.5381812076781017,0.16090330429215502,0.1808461986387755
100,0.67,0.8740774907749077,0.5303990086963146,0.07533101782775826,0.2126153382222708
100,0.42,0.8772504091653028,0.5800052182205868,0.0812620951846486,0.17107679732762787
100,0.37,0.8385135135135136,0.5360011170818938,0.07042470767353966,0.17249390189418393
100,0.3,0.8052584670231729,0.5746006719387091,0.11096840526330227,0.17029971701210023
100,0.37,0.8315443592552026,0.5417008123708401,0.10047493575860385,0.1779212506223221
100,0.14,0.574141876430206,0.5300917766992923,0.14360461141581293,0.17239683382281118
100,0.56,0.8873008434864105,0.5462956723317655,0.05422185189615829,0.18238559776495444
100,0.51,0.8917700112739572,0.5770749664580854,0.08401076176434866,0.1834919012744105
100,0.45,0.8519774011299435,0.5560319908572041,0.09170163962727924,0.1768924764188759
100,0.36,0.7606564850695235,0.5739987299859391,0.09231616628739535,0.17465323099791402
100,0.33,0.7617395327318991,0.5402098922915226,0.10526801692243834,0.18013416960954828
100,0.42,0.8525683789192795,0.5441079672509558,0.08248735174064992,0.17187726609915144
500,0.45,0.7980289353728627,0.6262510505004202,0.10470155765249461,0.15751277237764025
500,0.51,0.8333138777892516,0.6486179694289314,0.09593326428485621,0.15023345631620205
500,0.51,0.8401902154333886,0.6539135010468098,0.098786647877464,0.15656061991931494
500,0.45,0.7870226554549836,0.6544231334558585,0.11548100592272477,0.15255836474374795
500,0.41,0.7623069130290561,0.6160362446289823,0.1202304179792404,0.16256194761283746
500,0.49,0.815172451066053,0.6459891555607574,0.11746330833638334,0.15522721362591044
500,0.47,0.8082467345024176,0.625990571106216,0.10357989278630879,0.16590099509656056
500,0.48,0.826896299337701,0.6433667244949354,0.09023468519496165,0.1605104076875597
500,0.49,0.8389064638645407,0.6478507935583186,0.08489219268458681,0.15946767969588527
500,0.49,0.8243847773630605,0.6423404619024913,0.08498139277086109,0.15662600566898796
500,0.48,0.8047563070802062,0.6334372339610913,0.08196315527368785,0.16096988859371653
500,0.45,0.7822911994258545,0.6222340840685934,0.11792399244846268,0.16249010379442555
500,0.64,0.7981347371796584,0.6325135395140027,0.10589376309538952,0.1619643427141944
500,0.52,0.8407598034804831,0.6540524541568383,0.10165669428671376,0.15248553098876053
500,0.53,0.8452951693098633,0.6649190668086311,0.0747031331009182,0.1552669974311698
500,0.49,0.831464942269808,0.6521597421123481,0.10538583638113615,0.1698031778061099
500,0.5,0.8157530926261738,0.6171956437791711,0.11845129278368285,0.17232491585193216
500,0.53,0.8494748494748495,0.6567900394611512,0.0793297781755579,0.15487643028744438
500,0.51,0.7978103692037869,0.6367668592064247,0.08657434693972739,0.15933549076683867
500,0.45,0.7834596072404982,0.6393231984418957,0.10805764418811538,0.15674211816714032
1000,2.36,0.7926293638978744,0.6709933801620579,0.09220776090923309,0.1478898417963975
1000,1.44,0.7842370676358954,0.6501090219907797,0.10162526989659854,0.14700008172365028
1000,2.11,0.7984354675531146,0.6659646883641779,0.09487439640667053,0.14849572549132292
1000,1.67,0.7951478674727412,0.6579238504296232,0.09672910284979307,0.14707179731780154
1000,1.4,0.7355363118993503,0.6469109691208228,0.11409623104142101,0.1565521468239233
1000,1.41,0.7745328022419194,0.6602683424754042,0.10674436611994137,0.16019917245396847
1000,1.41,0.7503576297709155,0.6256156091620552,0.11093898218770287,0.1586835315979069
1000,2.59,0.7896186440677966,0.6496681403548044,0.09694819712359558,0.1484326565501801
1000,1.41,0.7395716111956355,0.662090700702024,0.11382379695091416,0.1426059137038209
1000,1.4,0.7765904180218055,0.6558122430251284,0.10049077697129416,0.1474733732148237
1000,1.45,0.7861919101968862,0.6478129068002361,0.10044168428057242,0.1526405222080486
1000,1.36,0.7149606405197381,0.6328884393348794,0.12152660651289121,0.16082118212404278
1000,2.07,0.797178166009178,0.654254703199601,0.1019756116681921,0.15837507849939395
1000,1.36,0.6899962735865036,0.6361602906488084,0.12414442446826861,0.1352424299288634
1000,1.41,0.7743808481654347,0.6735357673940097,0.10964276622033502,0.156826145644811
1000,1.98,0.78646357810218,0.654963645252675,0.09881179281108562,0.16382709699279488
1000,2.07,0.7869696197665947,0.6243618904337694,0.0966254497871076,0.16165479466489358
1000,1.41,0.7439031223454684,0.6722796752392616,0.1167462202695028,0.142191304464415
1000,1.36,0.7164091128119502,0.6459117491174013,0.1232771760428446,0.15319860721019277
1000,1.41,0.7698250582581645,0.6551882709370266,0.10400980839376489,0.1484483783643023
2000,1.3,0.7693156763719625,0.6624803944039225,0.10782370493176709,0.1458810350001185
2000,1.26,0.7336224670056664,0.667833235651426,0.11734490576157866,0.14316035544367095
2000,1.34,0.7737222372392666,0.676198793089936,0.09952988419220733,0.1418225760007918
2000,1.44,0.7581214992088275,0.6810644872459456,0.11150170402118034,0.14099030330698958
2000,1.25,0.7182354407524186,0.6597969588351849,0.12298754685378258,0.1596558043074675
2000,1.3,0.7583580068281943,0.68879407944936,0.10661225575192187,0.1468896178460144
2000,1.25,0.7400888483151127,0.646998513583696,0.11787007590729909,0.15592357120029784
2000,1.29,0.7490969241371234,0.6619609379372097,0.11066505653805242,0.139162093751822
2000,1.29,0.75269745481273,0.6615372377493104,0.11540323841491734,0.14443169873377995
2000,1.29,0.7578050283066179,0.6651892954502515,0.10844833782942094,0.14167916297755692
2000,1.26,0.7188517957724471,0.647540392870495,0.11533758513661568,0.15053769232302525
2000,1.26,0.7452378539024258,0.6553241498719369,0.11742491265141826,0.15502087203008044
2000,1.26,0.7280054692762736,0.664220052732844,0.11925959363159781,0.15068392606566497
2000,1.26,0.7277390213102082,0.6548635776193188,0.12056512650542638,0.13781986289987927
2000,1.3,0.7481310769758207,0.663239978256084,0.10571270663446998,0.15296883575819467
2000,1.22,0.6835805834887386,0.6452013296215847,0.13523318688336525,0.1605189632342867
2000,1.26,0.7248737695464421,0.6379153711024257,0.12773438711062737,0.16208228428173915
2000,1.3,0.7375188814656224,0.6604345262393977,0.11087113287759146,0.14383748378059322
2000,1.26,0.713262061074314,0.6592327006171453,0.11815811732978117,0.15320584080770075
2000,1.26,0.7356254085316194,0.6523885522614152,0.11145047834958742,0.1520979336063053
5000,9.99,0.7251266239343889,0.676927864888793,0.12821818700461088,0.14683198430170946
5000,3.95,0.7150987869586866,0.6943005414047781,0.1272095873020721,0.13795203224111927
5000,4.26,0.7098789408133349,0.6785566340868124,0.13126494373245576,0.14631902510902411
5000,7.93,0.7069737150791912,0.679311884709721,0.13247999147403058,0.13711565142329096
5000,7.98,0.6960329250253088,0.6666273348620789,0.13124687923221393,0.15086499544063106
5000,7.36,0.721689604643543,0.6819414652372474,0.1327726963892503,0.14088352622603306
5000,5.97,0.705954519555729,0.6539739250344742,0.12994683805007856,0.15639465386463372
5000,5.57,0.6961347853522605,0.6600973753427724,0.13116135602708462,0.13959021996619325
5000,8.29,0.7101966259915358,0.6702716449949695,0.1285761236708926,0.14288202264782757
5000,7.18,0.719443211120792,0.7013738315234505,0.1305115020542942,0.13740618019647932
5000,4.35,0.6919621509087394,0.65996567675794,0.13104176996280226,0.1440251635833017
5000,7.45,0.7006095367137535,0.6580065220219165,0.12762392168644068,0.14539850067690577
5000,8.98,0.7190859044329839,0.6844135252618827,0.12697789294308284,0.1455245407032404
5000,4.35,0.7040520774663221,0.6655708592034271,0.1310001372241584,0.13843202393849763
5000,5.04,0.702009476791561,0.6748756688275807,0.12970604047963125,0.14492383365116862
5000,5.54,0.707771695460024,0.6655709269176934,0.13235902829156046,0.1574661685361636
5000,4.82,0.6843557996807517,0.6443840777851934,0.1296510052457538,0.15733211223335988
5000,4.33,0.7007410444669775,0.6749274277679503,0.12893009571060432,0.13675845194326927
5000,6.54,0.6997135753898582,0.664625984782472,0.12658587344165978,0.1450949779446256
5000,7.74,0.7172770889198891,0.6749238079780712,0.12428803356385999,0.14694332473671395
10000,17.26,0.6988404358552728,0.6744122815296185,0.12813270502292456,0.1407636873149744
10000,17.27,0.7221147370103905,0.6925119519988862,0.12587305814452493,0.13493626759337185
10000,16.44,0.7056776790936657,0.6931313606287576,0.13135683720043012,0.13899227997463182
10000,16.38,0.7058826077543406,0.6874431975010267,0.13043874639869205,0.13594008057382065
10000,16.09,0.6961737579291342,0.6784424605383262,0.1361112828955182,0.15492777472491914
10000,16.47,0.7050963288237487,0.6745205195787369,0.129100005153444,0.1383795230302653
10000,16.42,0.7078278612701914,0.6682000931248768,0.13058267744521881,0.15255701331267824
10000,19.15,0.7200076457644543,0.659165034417147,0.12306579695237228,0.1396688491182036
10000,16.87,0.7118176230388121,0.6913895057150091,0.13423134793697708,0.1467284177308243
10000,18.01,0.7259122729503182,0.6993090356188539,0.12430816921725425,0.13814468618276513
10000,16.02,0.6883444995130474,0.6707018247172386,0.13447088005173327,0.14147680181875616
10000,17.18,0.702795375496518,0.6619358832315856,0.1269107427523585,0.1476665966860684
10000,20.04,0.7256690304842927,0.6956971958953895,0.12271190058045542,0.14239113294397268
10000,16.11,0.6871337901982879,0.6705641262008695,0.13390111595906487,0.1333010953800053
10000,18.38,0.7224762669781567,0.6803509575858863,0.12605670095695592,0.15152676546662824
10000,17.63,0.7165116916705992,0.6684451508772243,0.1277911380555573,0.15873004775777447
10000,16.12,0.6903588922973092,0.6566027459637547,0.13719988874710842,0.15812611414101985
10000,17.26,0.7083613002388375,0.6813013108359414,0.12539918766202607,0.13527116143698142
10000,17.62,0.7225529529865568,0.6831583108004923,0.12600455863887047,0.14926144391153956
10000,21.09,0.7383192121824858,0.6763112692057996,0.11770068947769784,0.14436731552568427
