n train,train time,train C,test C,train brier,test brier
100,0.06,0.9997738068310337,0.5691665895805084,,
100,0.05,1.0,0.5248249371670645,,
100,0.05,0.9995419147961521,0.5340127096037872,,
100,0.04,1.0,0.5214674478845994,,
100,0.04,1.0,0.5570398566139529,,
100,0.05,1.0,0.5711011987226948,,
100,0.04,1.0,0.5514574657941701,,
100,0.04,1.0,0.5323544243988206,,
100,0.04,1.0,0.5449800856182941,,
100,0.04,0.9997778271495223,0.5375932449584937,,
100,0.04,0.9997763363900694,0.5596260042707579,,
100,0.04,1.0,0.5438845070867777,,
100,0.04,1.0,0.5296406138995704,,
100,0.04,1.0,0.548716692657891,,
100,0.04,0.9997709573980761,0.5304020741148571,,
100,0.04,1.0,0.5637162092273376,,
100,0.04,1.0,0.5534433652397069,,
100,0.04,0.9997754322928363,0.5372223720888409,,
100,0.04,1.0,0.511164361553029,,
100,0.04,1.0,0.5173316722351209,,
500,0.61,0.9997715518029132,0.5881861890182682,,
500,0.6,0.9998124514383189,0.5700217459539654,,
500,0.51,0.9997335796241696,0.6020673928654237,,
500,0.65,0.9996851753573259,0.5752205851074548,,
500,0.77,0.9997558284649749,0.5742525187605797,,
500,0.63,0.9997280662793122,0.5939650512602713,,
500,0.56,0.9996676009774328,0.5816563108596865,,
500,0.62,0.9997037196649339,0.581557319328151,,
500,0.69,0.9998122384750188,0.5805110003251328,,
500,0.6,0.9997472855763243,0.5570578825786628,,
500,0.79,0.9997748031779775,0.5800496526344985,,
500,0.79,0.9997943564250206,0.5726256415583008,,
500,0.56,0.9998015318135481,0.5680803797967952,,
500,0.59,0.999785515121184,0.5930560736323148,,
500,0.65,0.99959588339889,0.5858731387233543,,
500,0.56,0.999776885319054,0.5601881624925235,,
500,0.61,0.9996269132072725,0.5784608110780505,,
500,0.63,0.9997958640276915,0.5783989749123281,,
500,0.62,0.9996782295474657,0.567830504071266,,
500,0.69,0.9997779238545312,0.575665666232516,,
1000,2.45,0.9996635657514451,0.5875115911259918,,
1000,2.14,0.999729178044173,0.5927116052939995,,
1000,2.26,0.999706911518601,0.6106800290839676,,
1000,2.16,0.999663189283132,0.5859627048290283,,
1000,1.77,0.9997209909322053,0.587769640901232,,
1000,2.22,0.9996921837300995,0.6025182715499816,,
1000,2.08,0.9996819890793697,0.5863249061870197,,
1000,2.24,0.9997002686398235,0.5911094048857611,,
1000,2.21,0.9997397704196813,0.6025432607203497,,
1000,2.3,0.9996995287345416,0.5854052549770239,,
1000,2.32,0.9996967375701715,0.5938721162800661,,
1000,2.54,0.9997545078219664,0.5871830594738375,,
1000,2.31,0.9997579137545335,0.5862041746072915,,
1000,1.93,0.9997210848682963,0.5919909577504033,,
1000,2.29,0.9996506495455085,0.5973708021851315,,
1000,2.18,0.9997123534173082,0.5710578743574638,,
1000,2.0,0.9997094561875697,0.601837097921729,,
1000,2.35,0.9997746586971703,0.5991052962863052,,
1000,2.1,0.9996554760173028,0.5842978803893283,,
1000,1.81,0.999716847780042,0.5800758819865225,,
2000,7.79,0.9996594285906337,0.5996949644313185,,
2000,6.01,0.9997231740837146,0.6017170948489413,,
2000,7.22,0.9997165252292546,0.6130166512467613,,
2000,9.82,0.9997064681950151,0.6006698712423291,,
2000,7.18,0.9996873824521473,0.6020743000425451,,
2000,6.97,0.9996808460849231,0.6086140876035085,,
2000,8.93,0.999711391902739,0.6041533307849076,,
2000,7.21,0.9996835643313714,0.6031988696509457,,
2000,8.32,0.999749017823081,0.6106964163144395,,
2000,4.78,0.9997091530933404,0.6020643421323542,,
2000,6.88,0.9996898930944295,0.5974889566858558,,
2000,7.09,0.9996968952609743,0.5949370804327259,,
2000,7.7,0.9997107693925765,0.5981991226784245,,
2000,8.3,0.9997411822060536,0.6031701803506343,,
2000,6.89,0.9997190233047364,0.6062611552494828,,
2000,6.73,0.9997256896646891,0.5888060406276281,,
2000,6.52,0.9996983167200768,0.6116340442749236,,
2000,6.58,0.9997206199777948,0.6104374606600126,,
2000,6.06,0.999668312797253,0.601852294972505,,
2000,6.39,0.9997262021716432,0.5910617815278328,,
5000,44.83,0.9996993145665388,0.6126973311643921,,
5000,34.14,0.999709905627777,0.6099186841326797,,
5000,31.42,0.9996323873572545,0.6298457334134718,,
5000,40.33,0.9997278091036915,0.606777520804741,,
5000,17.96,0.9983698095529538,0.6067746286355695,,
5000,37.25,0.999689509176968,0.6253730394138568,,
5000,9.79,0.9926710783372406,0.6156144608835498,,
5000,20.95,0.9990587896208607,0.6158289756438855,,
5000,27.32,0.9995072651552195,0.6161740002167552,,
5000,35.52,0.999610143169103,0.6115330749511857,,
5000,23.27,0.9991246526247111,0.6088355532706023,,
5000,42.48,0.9996803174678911,0.605432330699736,,
