n train,train time,train C,test C,train brier,test brier
100,0.05,0.999776236294473,0.5608349183445924,,
100,0.04,1.0,0.5966031982802115,,
100,0.04,1.0,0.5694307886789802,,
100,0.04,1.0,0.5960976193218567,,
100,0.04,1.0,0.6005539788052465,,
100,0.04,0.9997779751332149,0.5678697028310181,,
100,0.04,1.0,0.6056295240184251,,
100,0.05,1.0,0.5836953354700288,,
100,0.04,1.0,0.5841905251728671,,
100,0.05,1.0,0.5916478890460969,,
100,0.04,0.9997766361402725,0.6074652892018162,,
100,0.04,0.9997751798561151,0.5786269521432792,,
100,0.04,1.0,0.5561584712270035,,
100,0.04,0.9995574242088958,0.5878873518221206,,
100,0.04,1.0,0.5805185728993741,,
100,0.04,1.0,0.603557917828936,,
100,0.04,0.999780557384244,0.5717069497380884,,
100,0.04,0.9995615957913196,0.5818274160675541,,
100,0.04,1.0,0.5834034607899858,,
100,0.04,0.9995575221238938,0.6027549401730434,,
500,0.53,0.9995870382736443,0.604678515992217,,
500,0.48,0.9995294609714017,0.6270844758374098,,
500,0.48,0.9997267205585479,0.6293246102254372,,
500,0.64,0.9995515655637525,0.6328133998422922,,
500,0.71,0.9996561483323194,0.6194335148369879,,
500,0.66,0.9995841627958416,0.6236998857042377,,
500,0.56,0.9996152534517886,0.6284963807852599,,
500,0.56,0.999496626514536,0.6130726917949125,,
500,0.68,0.9994724022405318,0.6253610096401113,,
500,0.65,0.9996623782784846,0.6277500480357735,,
500,0.65,0.9997002715187419,0.6381029150490228,,
500,0.51,0.9995777101331973,0.618524087089179,,
500,0.61,0.9996409807355516,0.6321006380847375,,
500,0.57,0.9996911374085546,0.6228903208779608,,
500,0.65,0.999657828703785,0.6326371114065314,,
500,0.65,0.9995890854090349,0.6348639018396277,,
500,0.55,0.9996942270058709,0.6213919733310433,,
500,0.65,0.9997263321444966,0.6313378512679542,,
500,0.58,0.9996627618033369,0.6307909938813794,,
500,0.54,0.999603604555905,0.6259716662345709,,
1000,2.22,0.999542936501135,0.6158796265932096,,
1000,2.21,0.9996397979354272,0.6322054533090574,,
1000,1.69,0.9996272253433828,0.633638247067912,,
1000,2.12,0.9996056287137547,0.6386432703979019,,
1000,1.87,0.999600246880498,0.6252155034799821,,
1000,2.65,0.9996287448703811,0.6421806312642869,,
1000,2.09,0.9996664106221881,0.6394834393507348,,
1000,2.0,0.9995392202901809,0.6358435091251027,,
1000,2.73,0.9995393837880725,0.6372177311230971,,
1000,2.12,0.999597800429892,0.6402906600988664,,
1000,2.45,0.9996463978704806,0.6465344037200325,,
1000,1.82,0.9996300228772836,0.6303306408232732,,
1000,2.24,0.9996069993632951,0.6456887084647607,,
1000,1.54,0.99960627756332,0.6321614726516968,,
1000,2.02,0.9996278222566669,0.6420111951074867,,
1000,1.7,0.9996119757013484,0.6508312286092994,,
1000,1.88,0.9995536778910843,0.6442528090258741,,
1000,2.3,0.9995852114649316,0.6395188377689974,,
1000,2.19,0.9996535654077336,0.6377840161994425,,
1000,2.18,0.9996662099012684,0.6365440979378045,,
2000,6.35,0.999596585153784,0.6217266784722678,,
2000,7.25,0.9996673907960557,0.6517164981244653,,
2000,6.56,0.9996476399585096,0.6456771455158368,,
2000,4.34,0.9996014982345381,0.659897268466425,,
2000,5.68,0.9996010883803529,0.6392598349953431,,
2000,9.5,0.9996431514306484,0.6444819324775805,,
2000,7.91,0.9996470153553818,0.6570179864005264,,
2000,6.34,0.9995982919152121,0.6410737778013227,,
2000,7.16,0.9995710868549119,0.6489546655413276,,
2000,6.69,0.9995975501621055,0.654497240126465,,
2000,7.26,0.9996501679905354,0.6626406527604133,,
2000,6.1,0.9996922369654675,0.6423047415807621,,
2000,7.95,0.9996307042706216,0.6584635550811141,,
2000,7.56,0.9996111846641539,0.6450163847896369,,
2000,7.28,0.9996285310129964,0.6565286789199962,,
2000,6.52,0.9996503686199808,0.6583378944846339,,
2000,6.22,0.9996347773045032,0.6536756788892045,,
2000,5.96,0.9995998648579383,0.6416995566164194,,
2000,6.9,0.9996707596517883,0.6466167885131227,,
2000,8.79,0.9996499752134247,0.6495542089790968,,
5000,43.08,0.9990513432815313,0.639532367023021,,
5000,39.62,0.9995269004825703,0.6637078553096277,,
5000,56.73,0.9996461834258312,0.6652810941779619,,
5000,39.65,0.9991977938981277,0.6688569289517751,,
5000,43.81,0.9993070609626349,0.6517100462603128,,
5000,46.15,0.9995675717648167,0.6560148144891859,,
5000,54.63,0.9996194002070505,0.6641302917306426,,
5000,56.13,0.9996515461365574,0.6483888697586947,,
5000,38.33,0.9993706059532714,0.6664314883927434,,
5000,51.11,0.9995571366208497,0.6652114010725079,,
5000,54.7,0.999552303645196,0.6713441249369393,,
5000,38.1,0.9993908324902694,0.6597902575815028,,
5000,44.89,0.9991574812818855,0.6696338739481247,,
5000,41.94,0.999124960105234,0.663991950559722,,
5000,45.37,0.9995855711336293,0.6639682004272571,,
5000,36.71,0.9988692622083015,0.6615054217251484,,
5000,46.64,0.9994168469918043,0.660709528118883,,
5000,43.45,0.9992175197435028,0.6551974164843917,,
5000,32.22,0.9988697950283456,0.6536755553217973,,
5000,41.48,0.9993492188388952,0.6581756183730055,,
10000,138.29,0.9928690300817224,0.6463380774359984,,
10000,123.07,0.9956584980001476,0.6686862482725339,,
10000,178.19,0.9977996837168887,0.6710838190884191,,
10000,167.76,0.9967337552558456,0.6752327961228702,,
10000,150.65,0.9970881332842209,0.6632090697515682,,
10000,209.96,0.9984831276026879,0.6645419377527695,,
10000,188.69,0.9977997527687106,0.6740326826058346,,
10000,172.27,0.9965579831847142,0.6665386415207621,,
10000,221.41,0.9979589265163907,0.6720581835445542,,
10000,152.03,0.9966238664193354,0.672726816188929,,
10000,176.81,0.9986649746029115,0.6832488868417013,,
10000,145.26,0.9962923463515428,0.6713168314212397,,
10000,116.9,0.9959642338577104,0.6799361696064742,,
10000,134.47,0.9961297817397547,0.6693120587653126,,
10000,136.86,0.9964478715670324,0.6807575547133872,,
10000,123.15,0.9957371830382273,0.6767352707785171,,
10000,139.29,0.997701856321383,0.6668483203093176,,
10000,119.09,0.9954854221894643,0.6674952228216395,,
10000,125.61,0.9971623854871426,0.6682719279791021,,
10000,150.05,0.9980772686318634,0.6701783603503052,,
