n train,train time,train C,test C,train brier,test brier
100,0.04,1.0,0.4511730388345658,,
100,0.03,1.0,0.47551076582573576,,
100,0.03,1.0,0.5297739259201958,,
100,0.03,1.0,0.5596563997645806,,
100,0.03,1.0,0.5062661652243209,,
100,0.03,1.0,0.45180515105744384,,
100,0.03,1.0,0.45488958284990594,,
100,0.03,1.0,0.5163658256528311,,
100,0.03,1.0,0.49557269111426916,,
100,0.03,1.0,0.5637727714848731,,
100,0.03,1.0,0.5211534151397994,,
100,0.03,1.0,0.4879769205626375,,
100,0.03,1.0,0.541314422524957,,
100,0.02,1.0,0.4902835760461317,,
100,0.02,1.0,0.46755677598838435,,
100,0.03,1.0,0.5015879666485105,,
100,0.03,1.0,0.43359396981531295,,
100,0.03,1.0,0.4607471718701287,,
100,0.03,1.0,0.5212266258573311,,
100,0.02,1.0,0.534534920426515,,
500,0.24,1.0,0.48654864393986685,,
500,0.21,1.0,0.5229992079408147,,
500,0.25,0.9999888001612777,0.5217813521346223,,
500,0.25,0.9999887712363992,0.5108222863708977,,
500,0.27,1.0,0.5200525675618997,,
500,0.24,0.9999891376370016,0.4854603211691827,,
500,0.25,0.999988915368841,0.4853350256787321,,
500,0.25,1.0,0.4825976906808664,,
500,0.27,0.9999887645499078,0.5070817321302937,,
500,0.25,1.0,0.5083727866214811,,
500,0.26,1.0,0.5351991931417045,,
500,0.21,0.9999890755751709,0.5063626341360723,,
500,0.23,0.9999890108682513,0.5071377567450261,,
500,0.24,1.0,0.5221471356166487,,
500,0.26,0.9999888239435832,0.44576909435509793,,
500,0.26,0.9999886881666912,0.5083001634055391,,
500,0.22,0.9999889442902787,0.5255942399243695,,
500,0.22,0.999966983260513,0.4949658731572618,,
500,0.29,0.9999775664034458,0.4862463975335672,,
500,0.28,0.9999887541890645,0.5187152031868504,,
1000,0.6,0.9999945072298587,0.5072030940530847,,
1000,0.76,0.9999972359961746,0.47960447597701344,,
1000,0.79,0.9999776346394704,0.5194827619550173,,
1000,0.82,0.9999831488601608,0.502586810907766,,
1000,0.8,0.9999831593128999,0.5064856627567212,,
1000,0.7,1.0,0.5202810021724678,,
1000,0.73,0.999983202452442,0.47692828127227843,,
1000,0.7,0.9999804367085601,0.47282792415509817,,
1000,0.8,0.9999887459942773,0.4639957058327237,,
1000,0.7,0.9999944060168883,0.49595796507928497,,
1000,0.89,0.9999972176777626,0.508701742589791,,
1000,0.9,0.9999833758634161,0.5012021694449523,,
1000,0.73,0.9999972369889811,0.5210940453355362,,
1000,0.7,0.9999916115827265,0.5468870861898046,,
1000,0.84,0.9999916385862522,0.4249304501069572,,
1000,0.72,0.9999887254708525,0.5419644977025461,,
1000,0.81,0.9999777950482958,0.49840748202086593,,
1000,0.75,0.9999723028516984,0.4633442635727965,,
1000,0.74,0.9999778103226379,0.5178936462545519,,
1000,0.73,0.9999695028972247,0.4748988046517735,,
2000,2.34,0.9999862527932606,0.4691630393453229,,
2000,1.97,0.9999806012235085,0.5418218484751456,,
2000,2.42,0.9999824583192123,0.5154477968620929,,
2000,2.73,0.9999802834812894,0.5137734368431378,,
2000,2.56,0.9999846061806185,0.47497867937981464,,
2000,2.52,0.9999917009004523,0.5187691759921447,,
2000,2.6,0.9999812984681368,0.5011532364707889,,
2000,2.44,0.9999778304151462,0.4983391117530543,,
2000,2.82,0.9999824459528442,0.48260189537592185,,
2000,2.3,0.9999888672031283,0.4915655457167604,,
2000,2.49,0.9999881905243546,0.4994592928783549,,
2000,2.68,0.9999784961601772,0.5044458109657797,,
2000,2.55,0.9999868010184056,0.5299469358609972,,
2000,2.57,0.9999903063269912,0.5347523770961031,,
2000,2.64,0.9999853354515459,0.43575086175365485,,
2000,2.64,0.9999819586645249,0.5430636443625089,,
2000,2.7,0.9999840456488669,0.4689332380448606,,
2000,2.36,0.999980717700944,0.48003607535741327,,
2000,2.65,0.9999776422963038,0.5197200129577088,,
2000,2.22,0.9999860830839886,0.5007305061024496,,
5000,23.01,0.9999853305396161,0.4898132331492716,,
5000,30.47,0.9999820563350833,0.4834088879151991,,
5000,28.58,0.9999833842583362,0.5021162500932421,,
5000,27.76,0.9999838310723969,0.5101468568706033,,
5000,17.77,0.9999114751162923,0.4981545430396913,,
5000,27.32,0.999983596222343,0.5344451584009969,,
5000,30.49,0.9999818530473049,0.4888226923388754,,
5000,27.35,0.9999833291193052,0.472179772644095,,
5000,32.14,0.9999813918180273,0.47817178350894013,,
5000,30.33,0.9999850679674919,0.5035430874755782,,
5000,38.22,0.9999859711707559,0.4916624642797109,,
5000,33.33,0.999979861115129,0.5292260133956024,,
5000,23.25,0.9999847594823831,0.5276073533735631,,
5000,30.11,0.9999808928534915,0.5201882129543011,,
5000,28.51,0.9999849778974799,0.4636636445252319,,
5000,19.16,0.9999860636718501,0.5164606639572074,,
5000,31.7,0.9999845802477189,0.48665773806174245,,
5000,32.27,0.999980669263429,0.4840862022892264,,
5000,28.5,0.9999804622170538,0.47680598065280044,,
5000,29.44,0.9999859709239605,0.5421319045397532,,
10000,65.65,0.9998214928591317,0.4989217349851597,,
10000,89.78,0.999865848185763,0.4789640876994894,,
10000,146.68,0.9999796827384042,0.49442205099444414,,
10000,71.4,0.9997247427263224,0.50175163252151,,
10000,123.62,0.999927124321832,0.5170215443119381,,
10000,106.07,0.9998893199208939,0.49810569709512403,,
10000,42.43,0.9989721827985304,0.4982247147661796,,
10000,67.47,0.999754029296778,0.4855702476106397,,
10000,176.58,0.9999838456286033,0.5035723996042191,,
10000,97.21,0.9998174152793389,0.49164263029395855,,
10000,46.7,0.999144567103577,0.4670883061578977,,
10000,185.83,0.9999778303458561,0.520979795797393,,
10000,114.4,0.999940226117252,0.5028268204919983,,
10000,101.1,0.9998687970319471,0.4811354211753536,,
10000,66.13,0.9995913041984015,0.5274735932079403,,
10000,99.84,0.9998276632689745,0.5020642169802098,,
10000,87.95,0.9998056727538073,0.5044230358007046,,
10000,42.28,0.9992708293399517,0.5036423306462388,,
10000,70.53,0.9996905818126185,0.47538454234713257,,
10000,57.13,0.9995612215112732,0.5373493942246719,,
