n train,train time,train C,test C,train brier,test brier
100,0.34,0.9183156925908882,0.5213670455810614,0.034963143669664326,0.25224461327702274
100,0.33,0.9307886870544952,0.506397708985046,0.048542269578175964,0.2376081330995536
100,0.32,0.92044911610129,0.5153641546143485,0.0442929018406359,0.17489972064064183
100,0.3,0.9205629770992366,0.4962932361972858,0.04077155656263712,0.18282561861534774
100,0.31,0.9340172534390301,0.5109554736464161,0.048232836686617354,0.1740274111213633
100,0.33,0.9098003213220106,0.500537354517688,0.042297394618255935,0.2198649050990735
100,0.29,0.9458033573141487,0.5130873901767454,0.04072663401071358,0.17729674027571216
100,0.32,0.922256458876511,0.502291906232174,0.039291229426253856,0.2482908777705135
100,0.33,0.9229519610118357,0.5148876608739912,0.04215560754352913,0.20283209020070028
100,0.31,0.9278399618956894,0.5104022426760066,0.04984784774772666,0.18378737031916087
100,0.3,0.912041392285983,0.4875414827427225,0.045903438973280225,0.19294160184130715
100,0.29,0.9279004227336778,0.5080649916764568,0.040434223134469316,0.18956361439866987
100,0.32,0.9044033766826375,0.523326875881991,0.052283246375281624,0.1952126390217004
100,0.31,0.9226890756302522,0.5062578716251991,0.04819851778908726,0.20840562750931357
100,0.31,0.936219739292365,0.5097385235561893,0.04855178371356453,0.1675920413818641
100,0.31,0.9148584905660377,0.5153510517113188,0.04405112625302199,0.1806956859762658
100,0.32,0.9216308040770101,0.5244241357779418,0.04583588628083643,0.21128757529122688
100,0.32,0.9157227004984141,0.5031137199338799,0.047386887598583144,0.20416912188125758
100,0.33,0.9303966901922609,0.5076457563910046,0.04291420102679489,0.1783508757585048
100,0.31,0.9145758661887694,0.5099948498949469,0.04111937243798183,0.19510949457547613
500,14.77,0.9232616745057725,0.5111708931943098,0.03912023696657287,0.1775519075224198
500,15.05,0.9250875188188133,0.5138023705766415,0.042174996774632115,0.191232441823036
500,13.41,0.9184662887690677,0.5133720640190116,0.04017761927500321,0.1930201012644102
500,13.65,0.9228416886301232,0.5081046763982818,0.03902277130674153,0.18740012062105388
500,15.28,0.9233996555641054,0.5160071263981238,0.041173146860091187,0.1661188309045905
500,14.5,0.9198569816951127,0.5097762773062117,0.04258565837161662,0.19780952071333793
500,14.63,0.9299807815502883,0.5123561872336536,0.03835104402387409,0.18171221571205154
500,14.31,0.9311325759654611,0.5168593754244271,0.040409136812092204,0.20229178481543295
500,16.37,0.9108216616557894,0.5132221151748709,0.040465792110369686,0.18858317672094257
500,13.43,0.926016237887796,0.4902957653426009,0.03854124835412654,0.2262274236030778
500,13.65,0.9263083503129761,0.5061876047054098,0.037786432840413046,0.19383270703088523
500,13.65,0.9284022354639327,0.5160823554493126,0.037515810138961325,0.1952666558753272
500,13.63,0.9226157392643347,0.5280807646476268,0.0404974397185991,0.17741887550654029
500,14.02,0.9234786766463762,0.5212114248120385,0.039416064909533165,0.19011186113070902
500,13.79,0.9259245596237203,0.517598584983272,0.03844709345412702,0.2209088193642917
500,13.63,0.9245696371936128,0.5260944004984004,0.03874303228334402,0.18741877324751632
500,11.55,0.9284076784974451,0.5311732985184765,0.04072831317946402,0.1733713808472471
500,13.05,0.9304885183560041,0.5062915359444051,0.04011210002508747,0.20217734454900824
500,15.66,0.9219745076173009,0.5088520317284234,0.04017824056488993,0.18619916464601868
500,15.42,0.9156427738077877,0.5187067311417282,0.04201004753233714,0.18071774934205123
1000,77.24,0.9247442877645398,0.5134316556733778,0.03907369070326225,0.17945539445176675
1000,76.25,0.9310055343398258,0.518357955264633,0.03830548321097739,0.20870058283507106
1000,69.53,0.9291153762318308,0.5185648784337202,0.038655050734284435,0.17467979232859518
1000,70.72,0.9265703766638346,0.5133321926751736,0.04131564581179983,0.1928467211376959
1000,82.57,0.9272690884528875,0.5146947874579029,0.041272758911350606,0.1673831558133104
