n train,train time,train C,test C,train brier,test brier
100,0.35,0.9262516914749662,0.5241913140635504,0.04211098858296912,0.1708060982865429
100,0.34,0.910762331838565,0.48347627086000433,0.04514605580383478,0.2203527672187062
100,0.31,0.9304836895388077,0.4906066106076983,0.04253194883259174,0.1888471022747121
100,0.35,0.9149266992447801,0.5173121820355601,0.04595638053321931,0.20204596583912363
100,0.34,0.9108796296296297,0.49921513830351916,0.03674905433100295,0.19177281629761161
100,0.3,0.9231300345224396,0.5159557819580591,0.04448134856249499,0.20645709973373194
100,0.31,0.9338919925512105,0.5138563477219683,0.04164906294278474,0.22370304771757246
100,0.32,0.9267399267399268,0.49572151618063304,0.03987151604459004,0.21810845541366447
100,0.34,0.9147841646164169,0.4983006888728284,0.03749475927300501,0.26524147696476713
100,0.29,0.9198113207547169,0.48615476301078386,0.03778571347792407,0.23907218530868152
100,0.3,0.955746218107925,0.5198751282085735,0.04234502142150036,0.1892449494488166
100,0.32,0.9189250740150308,0.50673429982274,0.041564843848556486,0.1630374431767563
100,0.31,0.9207330536542283,0.5371137247075579,0.04869772960739327,0.2543815976286847
100,0.31,0.9248239836475131,0.5178172505857354,0.04612319331077373,0.17384743143303613
100,0.3,0.9143302180685359,0.5097241342078981,0.046040667791249386,0.18853063845353094
100,0.29,0.9231123388581952,0.48548056093945957,,
100,0.34,0.9325139664804469,0.5060980297281775,0.04619396176868936,0.19566154392352977
100,0.34,0.9188326493388053,0.4900144694968582,0.051136948809426486,0.16273843637642268
100,0.3,0.9247406753476054,0.49507712990179326,0.05007682361253767,0.209762288879672
100,0.3,0.9251887439945092,0.503319869542838,0.040617362342660356,0.20968903007805365
500,16.39,0.910294738165136,0.5178928292425922,0.039475969122297075,0.18202758034580116
500,13.78,0.9241145040231387,0.4872579786330112,0.041150026840645476,0.19326750427479078
500,13.12,0.9233749654058011,0.5009324278699632,0.0414868666431916,0.20868410062408685
500,14.58,0.9219786235428202,0.50955899137329,0.042239924789625606,0.19687994637355283
500,12.91,0.9239996362313568,0.504231674840419,0.039927856102626905,0.1857078384836521
500,13.54,0.9245871938148583,0.5299519625498406,0.03940306142247818,0.21795531780605784
500,13.95,0.9271161548731642,0.4965733307225377,0.04078924337002265,0.22931577142088846
500,13.6,0.9367601968054763,0.4929804357220592,0.04059666885732377,0.21253714220647965
500,13.55,0.9225599456623739,0.5030715677574582,0.04155457532263982,0.22372464480336546
500,12.85,0.9308241822587765,0.4908204492564133,0.03994753230580679,0.24340847355008097
500,13.64,0.926575228520022,0.5183926116030438,0.04016431822204415,0.19330887605512911
500,13.1,0.9196064271529157,0.5000565242556886,0.04119022287655374,0.18586673332037315
500,13.65,0.9229092670326122,0.5117838627302457,0.04113300889027501,0.20903645903619822
500,14.52,0.9247344900580775,0.5078347772389619,0.0413459866124446,0.17983384374374142
500,12.68,0.923148845780267,0.5104529381596351,0.037824854194398475,0.1889557820983258
500,12.56,0.9164268780426009,0.4932687264850074,0.039476274549241165,0.2438208327427189
500,14.03,0.9314892248311354,0.522205691494413,0.04124772204701922,0.1836518435552153
500,15.55,0.9192153325817362,0.5053911271783129,0.03870222712716973,0.1904278387414158
500,11.76,0.9280235510182034,0.493916193861508,0.040640390627499016,0.2436808591790894
500,14.28,0.9200857846478195,0.5021724129405233,0.04009092384980742,0.23301442095346317
1000,81.59,0.9251665145934264,0.5173160074850571,0.03907775914630415,0.19228868391332618
1000,70.55,0.930833989461571,0.48910691424881325,0.040311412401394964,0.21030297109126125
1000,73.57,0.9308332471596401,0.508033834782392,0.03943697100730595,0.20728363658007265
1000,72.52,0.9224882322470215,0.5105240438183531,0.040177669028812965,0.19966158083781022
1000,77.01,0.9200831162723392,0.5058479001547039,0.03937426735798999,0.19235863201449777
1000,75.59,0.9218172891555412,0.5346536449946248,0.040279041207810146,0.20925141916194887
1000,82.03,0.9214953083199722,0.4956145385306172,0.0404903238443534,0.21930337504146044
1000,75.11,0.9299738059410355,0.49918661293862376,0.0403046768805594,0.22064277208944563
1000,81.45,0.9274759033133229,0.5106487114510242,0.03974401613847652,0.23106105336689786
1000,81.76,0.9268218861242117,0.4914152732678158,0.040204974357132696,0.25625598484840306
1000,64.9,0.9296778963596198,0.503616713471194,0.03993881537304913,0.21080930466639558
1000,73.7,0.9214607722115963,0.500431845313461,0.040651398872234915,0.19117263785389133
1000,77.29,0.9325680879650224,0.5069941171401228,0.03966644770297589,0.20646365090523686
1000,78.21,0.9244854040231231,0.5054328084418532,0.040598205107043234,0.19897820456398477
1000,68.21,0.927427915876876,0.509706139048596,0.039465597274880256,0.19373101126798398
1000,68.04,0.931733375496928,0.4925116862387413,0.04016591764264693,0.21590800245753547
1000,71.86,0.9263513075076244,0.5128743719956407,0.041924125278614666,0.1972032400410653
1000,75.36,0.9248707769219459,0.4925826924983998,0.03977115206263705,0.20096151723038133
1000,72.66,0.9238659434903996,0.48698019914781143,0.038601317286646036,0.22948729192958417
1000,73.09,0.9266413356050157,0.4977084583622726,0.0398850159523482,0.24451337270339227
2000,392.33,0.9300881873192446,0.515969333066875,0.0387652295564544,0.18948085184944816
2000,357.93,0.9317337074710628,0.4852526991967553,0.040083031993941684,0.21197035470384695
2000,412.35,0.9261957005089139,0.5091418717894685,0.040436551813297715,0.19905560737167166
2000,407.91,0.9253087930076798,0.5117354445456457,0.03965841903677237,0.2057816180806718
2000,374.61,0.930470290998456,0.4962911882261672,0.039016484781193746,0.1981572314273254
2000,380.93,0.9246401990010463,0.5350324105364862,0.039174746980342956,0.21742852162302806
2000,397.49,0.9306489102131975,0.496600338953296,0.039604532965900635,0.21757595922597478
2000,374.43,0.9328576084071614,0.4937089771233475,0.03932183833195839,0.22252043653729717
2000,416.73,0.9312556716123032,0.5143995462404742,0.03853066313062026,0.22825973034104494
2000,380.96,0.930860611608081,0.49832656178125434,0.037678454623268985,0.23699180040911483
2000,384.24,0.9315519001765639,0.5112733966650095,0.03927841050839309,0.20900238548804975
2000,347.52,0.9294837312394563,0.4948178562384691,0.040405163703518134,0.19204210725139167
2000,418.18,0.9325556845117022,0.5015330814483537,0.03925942220853313,0.20689216548726921
2000,395.33,0.9278847368802335,0.5041001471149131,0.03888582283783009,0.2010690012789113
2000,365.05,0.9260876968875096,0.5121197397899965,0.039090342278870475,0.20078747125307025
2000,347.21,0.9342584380208785,0.5001938205449777,0.03885594264452338,0.210902217118399
2000,344.34,0.9293956790590424,0.5071087154117131,0.04006979584835941,0.2048635958998152
2000,378.53,0.9290051177742024,0.4912890022808615,0.03964624111505451,0.20579958936984485
2000,346.05,0.925392217494697,0.4944972315264201,0.038751785635760407,0.2249563441857463
2000,375.82,0.9305557430532119,0.4976814858270566,0.03996543679966151,0.22489003409425862
