n train,train time,train C,test C,train brier,test brier
100,0.32,0.9400090211998195,0.5105315389786167,0.042509151727613805,0.16094971284065765
100,0.33,0.9358744394618834,0.4958693509465599,0.042094767908559025,0.2006919250531718
100,0.32,0.9363329583802025,0.4834734807543715,0.041355220982966116,0.17265788252072609
100,0.33,0.9435806308307418,0.5262191414875368,0.04568525771680326,0.1861593183345061
100,0.33,0.9384259259259259,0.4911850504262298,0.03877095922901999,0.18351638628578848
100,0.3,0.942692750287687,0.5093398592897352,0.041182995728853235,0.2008539102208516
100,0.31,0.9490223463687151,0.509221060118071,0.03856045155680531,0.2157040380204721
100,0.32,0.9393315018315018,0.4808079116881119,0.03590807311136168,0.21034874513967575
100,0.34,0.9304406173115634,0.4917355844440988,0.03291100079148748,0.2475748493927029
100,0.32,0.9402122641509434,0.48246572114197145,0.03539118136084792,0.23348073007530126
100,0.3,0.9537141566945134,0.5216297381185924,0.046055434850526704,0.17974878277011577
100,0.3,0.9460259621953997,0.5108198730239121,0.044203293860056725,0.15794429030607254
100,0.31,0.9443585780525502,0.5220119652924875,0.036088261691761846,0.23353237735366555
100,0.3,0.9561662502838973,0.5070299587714997,0.041642805979365684,0.16940895995693447
100,0.32,0.951935914552737,0.4941448250420637,0.04042948423681254,0.1800732424940417
100,0.28,0.9284069981583793,0.4884209326188576,,
100,0.32,0.9584357541899441,0.4990650592166847,0.040807380319920046,0.1853011664659174
100,0.33,0.9473324213406292,0.48361701360403164,0.04649041467307877,0.15546795958961526
100,0.31,0.9516662988302803,0.49798573609497115,0.04639975185271522,0.20135938971860715
100,0.28,0.939601921757035,0.501689155017903,0.0383924416896311,0.20466918836282602
500,12.3,0.9340856652930772,0.5137279036389731,0.03903635818415542,0.1657321497256072
500,11.77,0.9377111809916834,0.502799460727112,0.04100805849745515,0.1840695667117369
500,11.44,0.9419620936855544,0.49216330063604496,0.0413352925475997,0.1912999960233374
500,11.5,0.9419461370713715,0.5277763338403437,0.039255812809337605,0.1778667266879447
500,11.0,0.9388868679519825,0.5162303047350297,0.040205450505060775,0.17240434550801811
500,11.05,0.9455122743131856,0.5268844152721895,0.0391724824749776,0.1945592476179107
500,11.31,0.9473075211392968,0.5011467244642804,0.03953138618804246,0.20365696831913593
500,11.44,0.9419477324586423,0.5219297749440585,0.040009419914644545,0.19607193201936648
