n train,train time,train C,test C,train brier,test brier
100,0.24,1.0,0.5176532603830345,,
100,0.03,1.0,0.5107024031246045,,
100,0.03,1.0,0.504224547272752,,
100,0.03,1.0,0.5002859149729394,,
100,0.03,1.0,0.5239731941988938,,
100,0.03,1.0,0.5163060842831065,,
100,0.03,1.0,0.5101065956790476,,
100,0.04,1.0,0.5188513531867117,,
100,0.03,1.0,0.5178631480404275,,
100,0.03,1.0,0.4990361380358937,,
100,0.03,1.0,0.5062469472809689,,
100,0.03,1.0,0.4750123605749822,,
100,0.02,1.0,0.5215508861651201,,
100,0.03,1.0,0.49014511953605006,,
100,0.03,1.0,0.4634134079233624,,
100,0.03,1.0,0.4967656267408204,,
100,0.03,1.0,0.5318794346369984,,
100,0.03,1.0,0.5148241855862542,,
100,0.03,1.0,0.48362960357508444,,
100,0.03,1.0,0.5242054937492309,,
500,0.28,0.9999818047835224,0.5069924588234492,,
500,0.26,1.0,0.4839068404968989,,
500,0.23,0.999990782985391,0.503340181499068,,
500,0.27,0.9999632666929922,0.4975404558430214,,
500,0.32,0.9999816789417757,0.5203974966708631,,
500,0.29,0.999972706430365,0.5218248604107131,,
500,0.26,1.0,0.49870325728061055,,
500,0.3,0.9999634121800852,0.5176290031962189,,
500,0.3,0.9999725012832734,0.5114088744273977,,
500,0.31,0.9999726019890955,0.49593413157394584,,
500,0.26,0.9999908218147108,0.496276253383668,,
500,0.25,0.9999907472519338,0.5178003619720674,,
500,0.27,0.9999726653971263,0.5326917051102303,,
500,0.27,0.9999908049359104,0.49452957252709867,,
500,0.28,1.0,0.4848226201575897,,
500,0.28,0.9999908335930482,0.5083786751916182,,
500,0.33,0.999990793168531,0.5012601464494523,,
500,0.25,0.9999360099458827,0.5176758987506888,,
500,0.28,0.9999907836649677,0.5325130661038885,,
500,0.25,0.9999817704535511,0.5109143487395915,,
1000,0.9,0.9999817755199671,0.5093111604414281,,
1000,0.71,0.9999817499098902,0.5017381516373434,,
1000,0.83,0.9999747610907798,0.48419026109198765,,
1000,0.75,0.9999705465873691,0.5211205615640224,,
1000,0.74,0.9999727088512018,0.5131165720570657,,
1000,0.74,0.999984016768693,0.5026979442000344,,
1000,0.89,0.9999815654185686,0.4936179693123265,,
1000,0.93,0.9999587564614877,0.4942821183778057,,
1000,0.83,0.9999793715662253,0.4967961535664946,,
1000,0.84,0.9999751852645589,0.4910616509643145,,
1000,0.81,0.9999884908778698,0.4815855423226684,,
1000,0.77,0.9999794701473131,0.5028327262665621,,
1000,0.8,0.9999704809113678,0.531759682174461,,
1000,0.71,0.9999817310305298,0.5039721431773991,,
1000,0.73,0.9999863355932744,0.49339681712645567,,
1000,0.77,0.9999863009319933,0.49772968597589395,,
1000,0.99,0.9999770564846404,0.49117329851847646,,
1000,0.78,0.9999795612017105,0.5221603751307222,,
1000,0.76,0.9999885343716607,0.5192992780385738,,
1000,0.93,0.9999654852656599,0.5143280024428817,,
2000,2.81,0.9999716325254655,0.5086908708366185,,
2000,2.9,0.9999776786991833,0.4892523913711734,,
2000,2.43,0.9999754266336431,0.4899193639822764,,
2000,2.6,0.9999790738066838,0.5195772960998496,,
2000,3.02,0.9999749828575717,0.5003442759297723,,
2000,2.68,0.9999805669645255,0.5049635470313677,,
2000,2.5,0.9999684764616605,0.4887668947867515,,
2000,2.94,0.9999647708457157,0.4982015609862101,,
2000,2.41,0.9999765148629414,0.5117042645241038,,
2000,2.79,0.999973293967505,0.5070490890825663,,
2000,3.04,0.999971906053844,0.48347309270679745,,
2000,2.81,0.9999777435497669,0.49480288851895365,,
2000,2.7,0.9999721863356575,0.5053291127370368,,
2000,2.59,0.9999839853855204,0.48426576183813574,,
2000,2.88,0.9999800964129756,0.4997520521398929,,
2000,3.04,0.9999759761271343,0.4958766004179106,,
2000,3.2,0.9999701893321379,0.4781313504001816,,
2000,2.84,0.9999766976341847,0.5112314318163929,,
2000,2.84,0.9999885317023886,0.5094112023521242,,
2000,2.67,0.9999736428805123,0.5069492236102692,,
5000,21.24,0.9999755256908102,0.5013428247488736,,
5000,17.51,0.9999790361096146,0.5083777100699781,,
5000,17.6,0.9999756531387481,0.47403025891508727,,
5000,17.31,0.9999811664191612,0.5083804605257234,,
5000,19.08,0.9999771305948724,0.4962515963949879,,
5000,11.03,0.9999791446183511,0.5089283519862008,,
5000,6.48,0.9998966829182303,0.4807156648805511,,
5000,18.06,0.999973353588244,0.5136427840605561,,
5000,15.51,0.9999755848098526,0.4901135206863957,,
5000,17.71,0.9999713515102392,0.5041337460291602,,
5000,22.46,0.9999742690557558,0.5094582935814157,,
5000,14.92,0.9999750945767483,0.48557214720197406,,
5000,17.57,0.9999731357949141,0.5084328062924699,,
5000,17.04,0.9999787826315354,0.5106276797321563,,
5000,10.4,0.999971888553448,0.5101875719848626,,
5000,16.21,0.9999730376251686,0.5110105114288768,,
5000,16.55,0.9999768448015531,0.4793983084520633,,
5000,17.36,0.9999765026081194,0.5163579934554532,,
5000,7.2,0.999914240714221,0.5064958490600071,,
5000,18.68,0.9999753794078838,0.5140488485185473,,
10000,59.89,0.9999626598344301,0.516970487393125,,
10000,21.19,0.9992941580581842,0.5114358624306096,,
10000,69.21,0.99997439686325,0.4905044059556366,,
10000,36.36,0.9998105219606462,0.5035289111817519,,
10000,86.93,0.9999756586740065,0.4963731723833893,,
