n train,train time,train C,test C,train brier,test brier
100,0.05,0.999344262295082,0.6125039352982685,,
100,0.05,0.9997800263968324,0.6100331400886345,,
100,0.04,0.9995597622716267,0.6295413910926343,,
100,0.05,0.9991277802006105,0.6103680239489692,,
100,0.04,0.9995640802092415,0.5965065748631413,,
100,0.05,0.999553272280545,0.6205686893997168,,
100,0.04,0.9991340116908421,0.6062420534443225,,
100,0.06,0.9995622674545852,0.6210074868768254,,
100,0.04,0.9997773820124666,0.5905316517331177,,
100,0.04,0.9997770345596433,0.6012498834063986,,
100,0.04,0.9995609220636663,0.6084532088671301,,
100,0.04,0.9995585963363496,0.5969657408314022,,
100,0.05,0.999122229536976,0.6245136356308467,,
100,0.04,0.9991218441273326,0.6120767029441097,,
100,0.05,0.9984756097560976,0.6109170713282523,,
100,0.04,0.9991189427312775,0.6293610774516063,,
100,0.05,0.9980088495575221,0.5781523457117576,,
100,0.04,0.9997829861111112,0.597460728379162,,
100,0.05,0.9995584988962473,0.6019706985379741,,
100,0.05,0.9991231915826392,0.6329353964728422,,
500,0.4,0.9990655256850649,0.6594213754545948,,
500,0.43,0.9989879418023286,0.6318471032866095,,
500,0.46,0.9991308957857137,0.6549163423658462,,
500,0.47,0.9989625838578048,0.6414333701734386,,
500,0.58,0.9993993784873042,0.6409525628725358,,
500,0.52,0.9992026416827727,0.6472883756400479,,
500,0.4,0.9991069260916311,0.6216537529476968,,
500,0.46,0.9991425750463356,0.6420847905604208,,
500,0.5,0.999314610933257,0.6350497132845547,,
500,0.46,0.9991939258411774,0.6223126530629952,,
500,0.42,0.9992545334766478,0.6431082347263316,,
500,0.41,0.9992013819564406,0.6297812156619559,,
500,0.36,0.9991470473040602,0.6468831287661921,,
500,0.42,0.9992439253311085,0.660072410354247,,
500,0.42,0.999316733119416,0.6361432078719612,,
500,0.59,0.9990444872942634,0.6539954917979387,,
500,0.48,0.9988141430875878,0.6411372989801443,,
500,0.56,0.9992461331831376,0.6474100167880342,,
500,0.46,0.9990376779428849,0.639741332213107,,
500,0.48,0.9992270145390748,0.6310368954385842,,
1000,1.02,0.9982392072741799,0.663045106660153,,
1000,1.0,0.9983036195948186,0.6505569013582218,,
1000,1.46,0.9991143161674203,0.66449401449935,,
1000,1.28,0.9989162217757056,0.6567887321492285,,
1000,1.36,0.9993485938122948,0.6455868754531208,,
1000,1.06,0.9992729900663613,0.6603355485346988,,
1000,1.16,0.9988914389641883,0.6384846937112181,,
1000,1.01,0.9978408169881666,0.6507425082446711,,
1000,1.32,0.999267429435899,0.6470182897934519,,
1000,1.01,0.9987900394317507,0.6228093960342991,,
1000,1.07,0.9987887286643672,0.6616868590907213,,
1000,1.22,0.9992366494985091,0.644588052264543,,
1000,1.16,0.9992305552174442,0.6668387732071509,,
1000,1.08,0.9990748223853982,0.6685600312188353,,
1000,0.99,0.9989512765235141,0.6526451517670886,,
1000,1.09,0.9988270998261171,0.6583408252876259,,
1000,1.08,0.9984103060812307,0.6433526753006193,,
1000,1.0,0.9988695475158198,0.6473513781173512,,
1000,1.08,0.9990299271795783,0.6436896944263665,,
1000,1.33,0.9992081776805897,0.6518898912993725,,
2000,2.71,0.993187786503533,0.6787819573359388,,
2000,3.27,0.9969938580756027,0.6650328573975898,,
2000,2.87,0.9943918758219692,0.6817307755126929,,
2000,2.48,0.9948418132602111,0.6630022365134757,,
2000,3.49,0.9988324219029625,0.6521639092325926,,
2000,2.4,0.9937378432997958,0.6677655518030287,,
2000,3.51,0.9969458327433854,0.6546549157257583,,
2000,3.17,0.997449965603809,0.6581144692079696,,
2000,3.58,0.9974049382769703,0.6653124307122456,,
2000,2.8,0.9966957333271332,0.6491910030954245,,
2000,2.89,0.9960184088186842,0.670780515270951,,
2000,3.67,0.9986356931753183,0.6502039883808218,,
2000,4.22,0.9983637643429002,0.6754833143798282,,
2000,2.62,0.9946460899178712,0.6780405844859732,,
2000,2.86,0.9955062095668552,0.6744002795909463,,
2000,3.55,0.9976872983006858,0.667077095467042,,
2000,3.24,0.9975468632217392,0.665512960712399,,
2000,3.61,0.9986781358353688,0.6466846347136587,,
2000,2.82,0.9953630489268004,0.6615182693375066,,
2000,3.3,0.9967992483116035,0.6626705871839192,,
5000,13.66,0.9829853520858257,0.6875058350974326,,
5000,13.9,0.9787955955041471,0.6763231028169076,,
5000,14.74,0.9756492745254449,0.6906159283786991,,
5000,19.2,0.9879610669070792,0.6725030675914403,,
5000,14.83,0.9831754972227665,0.6680616634902994,,
5000,14.61,0.9767280451221956,0.6818346225078985,,
5000,9.03,0.9665749674714522,0.6827702372284588,,
5000,7.58,0.952158319523509,0.6725916996056001,,
5000,18.52,0.9885701030812363,0.6820306148622505,,
5000,18.79,0.984317205290059,0.6707049628744282,,
5000,20.01,0.9812052781769417,0.6900678491535704,,
5000,26.58,0.9925087210212823,0.6625781955459817,,
5000,8.0,0.944878609091196,0.688012234814321,,
5000,19.62,0.9851693157694168,0.6902831374929541,,
5000,12.88,0.9668103505428421,0.6943819151545674,,
5000,11.12,0.9676698256741277,0.6867798494660082,,
5000,12.51,0.9723334179350493,0.6773877256411873,,
5000,22.73,0.9910011514945664,0.661882909433659,,
5000,11.55,0.971267081994875,0.6788571080314563,,
5000,8.47,0.9593450053674235,0.6800993062079458,,
10000,91.2,0.962405250087825,0.6971720132443142,,
10000,68.81,0.9551298368935945,0.684903863299309,,
10000,126.19,0.9689542057516731,0.696689627237349,,
10000,60.96,0.9534475606354861,0.6856327940754149,,
10000,79.24,0.9532184368768752,0.6891320486049308,,
10000,76.63,0.9596137476354946,0.6965726113955769,,
10000,58.39,0.9473540613521325,0.6945023418567501,,
10000,63.57,0.9439574973397697,0.6849288931000613,,
10000,98.35,0.9602680864115871,0.6868932566440163,,
10000,38.72,0.9377973621954866,0.6821257128478556,,
10000,87.28,0.9617516438442147,0.69690276548889,,
10000,117.73,0.9701931174918925,0.6680766343549072,,
10000,94.21,0.9652931146645246,0.6979072716102637,,
10000,105.9,0.9656039943236568,0.6976412435502753,,
10000,47.96,0.9233403377661012,0.6983000957295088,,
10000,117.55,0.9671121065959655,0.694821213740027,,
10000,45.81,0.9320582939778647,0.6877015090212993,,
10000,91.15,0.9600220786614042,0.670439811748149,,
10000,88.1,0.9534767319481379,0.6932923551088194,,
10000,62.63,0.9485462285804462,0.6887787908444734,,
