n train,train time,train C,test C,train brier,test brier
100,1.88,0.9125,0.6007821559309702,0.06497361811430763,0.17258010613335023
100,1.61,0.9234567901234568,0.6204991816693944,0.049011798252942634,0.17781085788940015
100,1.6,0.9238329238329238,0.5979199238664945,0.04634086187270055,0.16902831064806756
100,1.6,0.9422110552763819,0.6506531336762096,0.056910012322451915,0.1617643650327095
100,1.61,0.926829268292683,0.6074848478020863,0.06794572958263666,0.17609624289917078
100,1.61,0.916267942583732,0.6029884795254933,0.04487753499446837,0.1765660697357195
100,1.6,0.949748743718593,0.6001719885039263,0.05900558227842338,0.17837115826895775
100,1.6,0.9347826086956522,0.5945829458067736,0.0632207369102344,0.1697009717345806
100,1.62,0.9271356783919598,0.5985915492957746,0.06272540315461807,0.19549106685233847
100,1.68,0.9510309278350515,0.6056591727848967,0.05860161359866093,0.16965206458840823
100,1.6,0.9209876543209876,0.6040334145175609,0.054855752412079684,0.15517649223232752
100,1.61,0.9138755980861244,0.5933239730060238,0.060974284193242086,0.17624369838266485
100,1.6,0.9347826086956522,0.5962419074688141,0.04969832681182294,0.1769567968037302
100,1.6,0.9597989949748744,0.6221000801557311,0.05379652800008778,0.15572468135806514
100,1.6,0.9362244897959183,0.5881161531109189,0.05302126577881777,0.1707789764928546
100,1.61,0.9501246882793017,0.6123932975023711,0.06243482827038028,0.18047161189107247
100,1.61,0.9303482587064676,0.5915067319185404,0.06556418025061443,0.18056951672596425
100,1.6,0.9378109452736318,0.6266227076035442,0.04707950752440472,0.18043769297566117
100,1.61,0.9027431421446384,0.588389811234933,0.051782065547629375,0.17895174688489837
100,1.6,0.9280575539568345,0.6303727544568468,0.06378542460792076,0.1630844322277972
500,4.28,0.90647150879131,0.6807257679452491,0.05262361182181364,0.1554589790674523
500,4.32,0.8903030857980039,0.6753046008365158,0.05565236071035465,0.1536156647631094
500,4.3,0.9058477381390218,0.6890308839190629,0.05492486479223086,0.14631438271155978
500,4.28,0.9062215754047662,0.6974420827454372,0.04585515634299592,0.14896163923461828
500,4.32,0.9018168471279133,0.6713606561070681,0.052313914127960236,0.15863389050617174
500,4.26,0.9028912345112436,0.6790007984487282,0.057926241917669596,0.15391762456013153
500,4.25,0.8941317144959529,0.6777704858675236,0.0490625123197518,0.16466670715250512
500,4.29,0.9077665483019212,0.6750221173695076,0.04174872646924085,0.1559282782359674
500,4.31,0.9097292802365333,0.688080249988678,0.04826544821585519,0.15128923239108227
500,4.32,0.9073202252376996,0.6896119294085458,0.051016439807284014,0.14056741381729881
