	n train	train time	train score	test score
0	50	0.27	0.6441176470588236	0.5391553008628617
1	50	0.32	0.8307210031347962	0.6408781773720155
2	50	0.85	0.960691823899371	0.6764829633931444
3	50	0.27	0.6512968299711815	0.5569964101994744
4	50	0.65	0.9405940594059405	0.6986736811539742
5	500	2.07	0.9119671849004647	0.7762091023221255
6	500	2.33	0.9032734396701706	0.7599903778542615
7	500	1.47	0.8583073979956028	0.776455349542948
8	500	2.22	0.9041878263871905	0.7648825842008922
9	500	2.45	0.9206610623397826	0.76679875766142
10	1000	3.98	0.8832805765688431	0.7839990548661583
11	1000	5.73	0.9076575595160283	0.7857777284334406
12	1000	3.91	0.8706510298133819	0.7895836002197721
13	1000	3.43	0.8678053512707663	0.7926763514417561
14	1000	3.35	0.8683253880145411	0.7860652540901236
15	2000	4.43	0.8792849845302186	0.7980513731485198
16	2000	3.95	0.8657944815760068	0.7959231139313298
17	2000	3.37	0.8542720336902704	0.7967933772308148
18	2000	3.69	0.8651056472437408	0.8014353508524709
19	2000	4.34	0.8691031011837417	0.7943727528161857
20	5000	5.11	0.8521353963449848	0.8133710817512305
21	5000	4.56	0.8426590206874632	0.8150279127630077
22	5000	4.96	0.8457710967166405	0.8107295465350312
23	5000	4.73	0.843606007328589	0.8077871057553526
24	5000	4.59	0.8375518606770678	0.8141160863487943
