	n train	train time	train score	test score
0	50	0.79	0.9355345911949685	0.5193266326664178
1	50	0.27	0.6995515695067265	0.538304516344844
2	50	0.92	0.9601328903654485	0.5314592190931435
3	50	0.54	0.919558359621451	0.573114573889942
4	50	0.32	0.8177496038034865	0.5458773082274462
5	500	1.74	0.8093639303865702	0.5859358713937355
6	500	1.32	0.7006101633173456	0.5900981345110606
7	500	1.51	0.7954001980047216	0.6073595429358181
8	500	1.46	0.7786376021798365	0.6193185123598338
9	500	1.5	0.792327843184487	0.6032909057414203
10	1000	2.58	0.7032765678170251	0.6035793584230607
11	1000	2.77	0.719041072672831	0.6152271504268615
12	1000	2.97	0.7612812040414845	0.6143875470856583
13	1000	3.42	0.7940609927110782	0.6282672114139999
14	1000	3.25	0.7826252842647647	0.621704003917139
15	2000	3.46	0.7539241641504124	0.621103767822255
16	2000	2.69	0.6872638246285783	0.6189500685984108
17	2000	2.89	0.7178438330677691	0.6346952824654705
18	2000	3.57	0.7562994402742723	0.6410897209038507
19	2000	2.59	0.6530542633613716	0.6091502523354971
20	5000	4.07	0.6963419508891332	0.6455861891764797
21	5000	4.72	0.722918035788211	0.6645234713219859
22	5000	4.2	0.712385232656359	0.6526387360439806
23	5000	4.46	0.716950419536576	0.6501250769611147
24	5000	4.6	0.7224979394463967	0.6587186641004882
